timeframe,timestamp_open,timestamp_close,datetime_open_utc,event_type,event_score,is_significant,close_price,return_simple,normalized_range,volume,volatility_realized,regime_during,event_id,global_event_id,pre_return_1h,pre_vol_mean_1h,pre_return_4h,pre_vol_mean_4h,pre_return_12h,pre_vol_mean_12h,pre_return_24h,pre_vol_mean_24h,pre_return_3d,pre_vol_mean_3d,pre_return_7d,pre_vol_mean_7d,post_return_1h,post_mfe_1h,post_mae_1h,post_return_4h,post_mfe_4h,post_mae_4h,post_return_12h,post_mfe_12h,post_mae_12h,post_return_24h,post_mfe_24h,post_mae_24h,post_return_3d,post_mfe_3d,post_mae_3d,post_return_7d,post_mfe_7d,post_mae_7d,outcome_classification
5m,1788220800000,1788221099999,2026-09-01 00:00:00+00:00,VOLATILITY_EXPANSION,1.0,True,78640.17,0.0,0.0009941484104115366,37.65481,0.0,HIGH_VOLATILITY,5m_1,GEV_0001,0.0,37.65,0.0,37.65,0.0,37.65,0.0,37.65,0.0,37.65,0.0,37.65,0.00085,0.0033,-0.00099,0.00063,0.0033,-0.00573,-0.00778,0.00738,-0.01121,-0.01513,0.00738,-0.02823,0.03212,0.04654,-0.03022,0.00526,0.04654,-0.03022,EVENT_OBSERVATION
5m,1788223800000,1788224099999,2026-09-01 00:50:00+00:00,DOWNWARD_EXPANSION,0.9636,False,78653.75,-0.001957161957816811,0.002074026985363122,53.2466,0.0009869571028544273,HIGH_VOLATILITY,5m_2,GEV_0001,0.00017,43.09,0.00017,43.09,0.00017,43.09,0.00017,43.09,0.00017,43.09,0.00017,43.09,-0.00269,0.00196,-0.00353,0.0011,0.00332,-0.0059,-0.00814,0.00721,-0.01159,-0.0187,0.00721,-0.0284,0.03026,0.04636,-0.03038,0.00773,0.04636,-0.03038,FAILED_EXPANSION
5m,1788225900000,1788226199999,2026-09-01 01:25:00+00:00,DOWNWARD_EXPANSION,0.9667,False,78421.38,-0.0021202979945667,0.0022354873122609887,55.73276,0.0011678063105516172,HIGH_VOLATILITY,5m_3,GEV_0001,-0.00572,44.37,-0.00278,43.76,-0.00278,43.76,-0.00278,43.76,-0.00278,43.76,-0.00278,43.76,-0.00262,0.00212,-0.00295,0.00729,0.00738,-0.00295,-0.0068,0.01019,-0.01156,-0.01621,0.01019,-0.02552,0.03068,0.04946,-0.02751,0.01245,0.04946,-0.02751,FAILED_EXPANSION
5m,1788246300000,1788246599999,2026-09-01 07:05:00+00:00,COMPRESSION,0.1599,False,78775.25,-0.0002550911951023638,0.0006012040583812883,22.3543,0.0006912664695838612,LOW_VOLATILITY_COMPRESSION,5m_4,GEV_0001,-0.00287,36.66,0.00415,41.52,0.00172,41.19,0.00172,41.19,0.00172,41.19,0.00172,41.19,-0.00598,0.00039,-0.00608,-0.01015,0.00039,-0.0129,-0.02019,0.00039,-0.0299,-0.01434,0.00039,-0.0299,0.02724,0.04474,-0.03188,-0.00466,0.04474,-0.03188,COMPRESSION_REGIME
5m,1788247200000,1788247499999,2026-09-01 07:20:00+00:00,COMPRESSION,0.0978,False,78764.02,-0.00015207677465212122,0.0005972270079664312,13.29216,0.0005487928156498883,LOW_VOLATILITY_COMPRESSION,5m_5,GEV_0001,-0.00099,31.31,0.00407,41.28,0.00157,40.43,0.00157,40.43,0.00157,40.43,0.00157,40.43,-0.00834,0.00043,-0.00834,-0.01007,0.00043,-0.01276,-0.01822,0.00043,-0.02976,-0.01435,0.00043,-0.02976,0.0265,0.04489,-0.03174,-0.00376,0.04489,-0.03174,COMPRESSION_REGIME
5m,1788247800000,1788248099999,2026-09-01 07:30:00+00:00,COMPRESSION,0.0973,False,78787.94,8.174507974589851e-05,0.0003883843136397686,25.1485,0.00047256882433289706,LOW_VOLATILITY_COMPRESSION,5m_6,GEV_0001,-0.00185,28.84,0.00074,41.68,0.00188,40.11,0.00188,40.11,0.00188,40.11,0.00188,40.11,-0.00994,0.0001,-0.01209,-0.00914,0.0001,-0.01306,-0.01844,0.0001,-0.03005,-0.0153,0.0001,-0.03005,0.02617,0.04458,-0.03203,-0.00365,0.04458,-0.03203,COMPRESSION_REGIME
5m,1788249900000,1788250199999,2026-09-01 08:05:00+00:00,BREAKDOWN_CANDIDATE,0.9898,False,78304.4,-0.0034818906055130716,0.004209086590280962,97.79976,0.0013169164629855956,TRENDING_DOWN,5m_7,GEV_0001,-0.00598,38.82,-0.00589,40.37,-0.00427,41.07,-0.00427,41.07,-0.00427,41.07,-0.00427,41.07,-0.00537,0.0041,-0.00662,-0.00281,0.0041,-0.00697,-0.01313,0.0041,-0.02407,-0.01007,0.0041,-0.02407,0.03076,0.05103,-0.02606,0.00055,0.05103,-0.02606,FALSE_BREAKDOWN_CANDIDATE
5m,1788251100000,1788251399999,2026-09-01 08:25:00+00:00,BREAKDOWN_CANDIDATE,0.9907,True,77888.0,-0.0028041013471005183,0.0035372586277731457,182.25644,0.0014034635578922838,TRENDING_DOWN,5m_8,GEV_0001,-0.01134,60.74,-0.01194,44.36,-0.00956,43.02,-0.00956,43.02,-0.00956,43.02,-0.00956,43.02,0.00056,0.00331,-0.00131,0.00136,0.00404,-0.00166,-0.00627,0.00688,-0.01885,-0.00822,0.00688,-0.01885,0.03973,0.05665,-0.02085,0.00756,0.05665,-0.02085,FALSE_BREAKDOWN_CANDIDATE
5m,1788263100000,1788263399999,2026-09-01 11:45:00+00:00,COMPRESSION,0.1437,False,78100.01,-8.37317740959298e-05,0.0006437899303725933,27.89563,0.0006947204920908474,LOW_VOLATILITY_COMPRESSION,5m_9,GEV_0001,0.00038,27.64,-0.00704,54.52,-0.00687,45.74,-0.00687,45.74,-0.00687,45.74,-0.00687,45.74,-0.00132,0.00126,-0.00458,-0.00048,0.00415,-0.00755,-0.00673,0.00415,-0.02151,-0.01895,0.00415,-0.02351,0.04055,0.05378,-0.02351,0.00425,0.05378,-0.02351,COMPRESSION_REGIME
5m,1788269700000,1788269999999,2026-09-01 13:35:00+00:00,DOWNWARD_EXPANSION,0.9774,False,77634.32,-0.0023938388557991352,0.003851389437042792,163.87237,0.0013383929122188817,HIGH_VOLATILITY,5m_10,GEV_0001,-0.00236,78.83,-0.00366,48.0,-0.01153,47.94,-0.01279,47.53,-0.01279,47.53,-0.01279,47.53,0.00899,0.01012,-0.0016,-0.00054,0.01017,-0.00407,-0.00839,0.01017,-0.01564,-0.01178,0.01017,-0.01765,0.0221,0.0601,-0.01765,0.00314,0.0601,-0.01765,FAILED_EXPANSION
5m,1788270000000,1788270299999,2026-09-01 13:40:00+00:00,UPWARD_EXPANSION,0.9988,True,77924.0,0.0037313394385369847,0.005748164878599638,210.77614,0.001656315454039786,HIGH_VOLATILITY,5m_11,GEV_0001,-0.0006,88.45,-0.00177,50.96,-0.0083,49.2,-0.00911,48.52,-0.00911,48.52,-0.00911,48.52,0.00611,0.00637,-0.00531,-0.00518,0.00642,-0.00778,-0.01331,0.00642,-0.0193,-0.00696,0.00642,-0.0213,0.01897,0.05616,-0.0213,-0.00102,0.05616,-0.0213,FAILED_EXPANSION
