event_id,timestamp_open,datetime_open_utc,event_type,entry_price,fwd_ret_15m,fwd_ret_30m,fwd_ret_1h,fwd_ret_2h,fwd_ret_4h,fwd_ret_8h,fwd_ret_12h,fwd_ret_24h
5m_169,1767716700000,2026-01-06 16:25:00+00:00,BREAKDOWN_CANDIDATE,92850.61,-0.00319,-0.0017,-0.00359,-0.00912,-0.00378,0.00538,-0.00074,-0.01347
5m_171,1767721500000,2026-01-06 17:45:00+00:00,BREAKDOWN_CANDIDATE,91834.4,-0.00127,-0.00037,0.00331,0.0036,0.01705,0.00612,0.00809,-0.00364
5m_348,1768206600000,2026-01-12 08:30:00+00:00,BREAKDOWN_CANDIDATE,91144.57,-0.00548,-0.00372,-0.00231,-0.00597,-0.00407,0.00984,0.00441,0.01008
5m_416,1768488000000,2026-01-15 14:40:00+00:00,BREAKDOWN_CANDIDATE,95825.51,0.00248,0.00454,0.00058,0.0101,0.00206,-0.00163,-0.0036,-0.00619
5m_418,1768491900000,2026-01-15 15:45:00+00:00,BREAKDOWN_CANDIDATE,95475.0,0.01208,0.01013,0.01282,0.01432,0.00117,0.00146,-0.00055,-0.01091
5m_450,1768576500000,2026-01-16 15:15:00+00:00,BREAKDOWN_CANDIDATE,94902.48,-0.00356,-0.00494,-8e-05,-0.00059,0.00038,0.00608,0.00422,0.00685
5m_451,1768577100000,2026-01-16 15:25:00+00:00,BREAKDOWN_CANDIDATE,94721.91,-0.00197,-0.00144,0.00156,0.00042,0.00147,0.00882,0.00643,0.00836
5m_527,1768778700000,2026-01-18 23:25:00+00:00,BREAKDOWN_CANDIDATE,94607.18,-0.00128,-0.00987,-0.02081,-0.02159,-0.02176,-0.02092,-0.01561,-0.02186
5m_529,1768780200000,2026-01-18 23:50:00+00:00,BREAKDOWN_CANDIDATE,93740.04,-0.00916,-0.01211,-0.01035,-0.01519,-0.01097,-0.00986,-0.00595,-0.01208
5m_546,1768885200000,2026-01-20 05:00:00+00:00,BREAKDOWN_CANDIDATE,91640.0,0.00029,0.00145,-0.00094,-0.00827,-0.00673,-0.00608,-0.01528,-0.02338
5m_549,1768889700000,2026-01-20 06:15:00+00:00,BREAKDOWN_CANDIDATE,90915.83,0.00142,0.00054,0.00101,0.00158,0.00326,-0.00175,-0.01245,-0.01189
5m_553,1768891800000,2026-01-20 06:50:00+00:00,BREAKDOWN_CANDIDATE,90816.38,0.00352,0.00224,0.00464,0.00218,0.00489,-0.0038,-0.01537,-0.0135
5m_558,1768918500000,2026-01-20 14:15:00+00:00,BREAKDOWN_CANDIDATE,90756.91,0.00058,-0.00338,-0.00778,0.00229,-0.01072,-0.01225,-0.01654,-0.01367
5m_564,1768921500000,2026-01-20 15:05:00+00:00,BREAKDOWN_CANDIDATE,89956.99,0.0076,0.0071,0.00631,0.00501,-0.00261,-0.01999,-0.00862,0.00206
5m_568,1768927200000,2026-01-20 16:40:00+00:00,BREAKDOWN_CANDIDATE,90128.04,0.00042,0.00364,-0.00488,-0.00683,-0.00529,-0.01417,-0.00609,-0.02186
5m_584,1769013600000,2026-01-21 16:40:00+00:00,BREAKDOWN_CANDIDATE,88157.41,-0.0063,-0.00946,-0.00263,-0.00037,0.01981,0.02022,0.02089,0.00925
5m_586,1769014500000,2026-01-21 16:55:00+00:00,BREAKDOWN_CANDIDATE,87602.4,-0.00319,0.00203,0.00377,0.01008,0.02981,0.02632,0.02736,0.01657
5m_642,1769178900000,2026-01-23 14:35:00+00:00,BREAKDOWN_CANDIDATE,88671.64,0.00275,0.00329,0.00623,0.01721,0.02442,0.01173,0.01145,0.00931
5m_759,1769330100000,2026-01-25 08:35:00+00:00,BREAKDOWN_CANDIDATE,88438.16,-0.00145,-0.00094,0.0003,0.00114,0.00335,-0.00526,-0.02445,-0.00333
5m_765,1769357400000,2026-01-25 16:10:00+00:00,BREAKDOWN_CANDIDATE,87904.72,0.00152,0.0003,-0.00047,-0.00232,-0.01666,-0.00971,-0.00499,-0.00563
5m_766,1769357700000,2026-01-25 16:15:00+00:00,BREAKDOWN_CANDIDATE,87692.42,0.0015,0.00196,0.003,4e-05,-0.01376,-0.00754,-0.00116,-0.00277
5m_772,1769365800000,2026-01-25 18:30:00+00:00,BREAKDOWN_CANDIDATE,87330.0,-0.00051,-0.00069,-0.01011,-0.01203,-0.01065,0.00669,0.00645,0.01035
5m_818,1769534100000,2026-01-27 17:15:00+00:00,BREAKDOWN_CANDIDATE,87631.41,0.00166,-0.00252,0.0018,0.00769,0.01902,0.02106,0.01466,0.02334
5m_824,1769612700000,2026-01-28 15:05:00+00:00,BREAKDOWN_CANDIDATE,89410.27,-0.00235,0.00016,-0.00029,0.00274,-0.00033,-0.0,-0.01565,-0.03682
5m_825,1769613000000,2026-01-28 15:10:00+00:00,BREAKDOWN_CANDIDATE,89101.77,0.00186,0.00447,0.00183,0.00703,0.00291,0.00279,-0.01145,-0.04223
5m_851,1769698500000,2026-01-29 14:55:00+00:00,BREAKDOWN_CANDIDATE,87014.4,-0.01926,-0.01792,-0.02391,-0.02005,-0.04065,-0.02809,-0.05573,-0.04501
5m_853,1769699100000,2026-01-29 15:05:00+00:00,BREAKDOWN_CANDIDATE,86118.5,-0.0065,-0.01183,-0.01816,-0.01146,-0.02922,-0.01896,-0.04583,-0.03004
5m_854,1769699400000,2026-01-29 15:10:00+00:00,BREAKDOWN_CANDIDATE,85338.76,0.00136,-0.00842,-0.00667,-0.0012,-0.01961,-0.00998,-0.03458,-0.02369
5m_856,1769700900000,2026-01-29 15:35:00+00:00,BREAKDOWN_CANDIDATE,85100.01,-0.00337,-0.00641,-0.00682,-0.00207,-0.01206,-0.00434,-0.03016,-0.02283
5m_938,1769979900000,2026-02-01 21:05:00+00:00,BREAKDOWN_CANDIDATE,76461.4,0.00332,0.00845,0.00944,-0.00593,0.01119,-0.01237,0.00443,0.02415
5m_993,1770135600000,2026-02-03 16:20:00+00:00,BREAKDOWN_CANDIDATE,76734.0,-8e-05,-0.00175,-0.00951,-0.03067,-0.01582,-0.01066,-0.00195,-0.03734
5m_994,1770144000000,2026-02-03 18:40:00+00:00,BREAKDOWN_CANDIDATE,73726.8,-0.00797,0.0116,0.01609,0.0361,0.02816,0.03083,0.04048,0.00373
5m_1029,1770304200000,2026-02-05 15:10:00+00:00,BREAKDOWN_CANDIDATE,68014.24,-0.01709,-0.00727,-0.01423,-0.01117,-0.0252,-0.05048,-0.05278,-0.00119
5m_1036,1770315300000,2026-02-05 18:15:00+00:00,BREAKDOWN_CANDIDATE,65832.61,-0.00313,-0.00413,0.00886,-0.02372,-0.04402,-0.01593,-0.00066,0.06173
5m_1038,1770324600000,2026-02-05 20:50:00+00:00,BREAKDOWN_CANDIDATE,62556.64,0.02229,0.02183,0.01194,0.03004,0.02057,0.03705,0.03908,0.12537
5m_1162,1770569100000,2026-02-08 16:45:00+00:00,BREAKDOWN_CANDIDATE,70410.44,0.00323,0.00535,0.00518,0.01247,0.00625,0.00107,0.00898,-0.00411
5m_1166,1770592800000,2026-02-08 23:20:00+00:00,BREAKDOWN_CANDIDATE,70362.08,-0.0029,0.00293,0.0052,0.00756,0.00517,0.00503,-0.02192,-0.00046
5m_1167,1770593400000,2026-02-08 23:30:00+00:00,BREAKDOWN_CANDIDATE,70154.79,0.00805,0.00386,0.00644,0.00798,0.01176,0.00682,-0.01918,0.00247
5m_1206,1770779700000,2026-02-11 03:15:00+00:00,BREAKDOWN_CANDIDATE,68099.11,0.00344,0.00436,0.00075,-0.00637,-0.0184,-0.01844,-0.02766,-0.0104
5m_1235,1770908400000,2026-02-12 15:00:00+00:00,BREAKDOWN_CANDIDATE,67292.99,0.00283,0.00529,-0.00138,-0.02114,-0.02628,-0.0138,-0.00865,0.00819
5m_1240,1770920100000,2026-02-12 18:15:00+00:00,BREAKDOWN_CANDIDATE,65258.51,0.00016,0.00541,0.00519,0.00716,0.00719,0.01868,0.0144,0.05743
5m_1338,1771160100000,2026-02-15 12:55:00+00:00,BREAKDOWN_CANDIDATE,69314.21,0.00284,-0.00371,-0.00554,-0.00207,-0.00428,-0.01247,-0.00676,0.00648
5m_1361,1771255800000,2026-02-16 15:30:00+00:00,BREAKDOWN_CANDIDATE,67440.91,0.00066,0.00346,0.0034,0.0091,0.0084,0.01781,0.01806,-0.01064
5m_1521,1771767300000,2026-02-22 13:35:00+00:00,BREAKDOWN_CANDIDATE,67645.0,-0.00032,-0.00089,-0.00065,0.0024,-0.00551,-0.00041,-0.03353,-0.02167
5m_1525,1771808100000,2026-02-23 00:55:00+00:00,BREAKDOWN_CANDIDATE,66740.47,-0.01886,-0.02533,-0.03465,-0.02932,-0.02895,-0.01594,-0.00689,-0.02696
5m_1529,1771809300000,2026-02-23 01:15:00+00:00,BREAKDOWN_CANDIDATE,65111.19,0.00248,-0.00688,-0.00632,-0.00492,0.00019,0.00963,0.01661,-0.02054
5m_1548,1771910400000,2026-02-24 05:20:00+00:00,BREAKDOWN_CANDIDATE,62715.52,0.00395,0.0057,0.00878,0.00861,0.00692,0.00341,0.02488,0.03959
5m_1664,1772260200000,2026-02-28 06:30:00+00:00,BREAKDOWN_CANDIDATE,64092.8,-0.00506,-0.00848,-0.00395,-0.00833,-0.00123,0.01005,0.02111,0.04369
5m_1667,1772261400000,2026-02-28 06:50:00+00:00,BREAKDOWN_CANDIDATE,63400.59,0.00402,0.0005,0.00827,0.0026,0.00864,0.01628,0.04059,0.05565
5m_1707,1772404200000,2026-03-01 22:30:00+00:00,BREAKDOWN_CANDIDATE,65301.43,-0.00218,0.0061,0.00478,0.01052,0.01583,0.01542,0.01508,0.06124
5m_1781,1772723100000,2026-03-05 15:05:00+00:00,BREAKDOWN_CANDIDATE,71845.29,-0.0044,-0.00285,-0.01369,-0.01076,-0.00797,-0.00856,-0.00847,-0.04897
5m_1782,1772726700000,2026-03-05 16:05:00+00:00,BREAKDOWN_CANDIDATE,70861.75,0.00276,0.00798,0.00297,0.00144,0.00265,0.0004,0.00163,-0.03491
5m_1805,1772805300000,2026-03-06 13:55:00+00:00,BREAKDOWN_CANDIDATE,69208.0,-0.00552,-0.00321,-0.01153,-0.01016,-0.0181,-0.01328,-0.01367,-0.01845
5m_1806,1772805900000,2026-03-06 14:05:00+00:00,BREAKDOWN_CANDIDATE,68662.2,0.00489,-0.0003,-0.00488,-0.00399,-0.00655,-0.00504,-0.00551,-0.014
5m_1808,1772808300000,2026-03-06 14:45:00+00:00,BREAKDOWN_CANDIDATE,68419.81,0.00246,0.00524,0.00256,0.00252,-0.00041,0.0,-0.00312,-0.00551
5m_1903,1773149700000,2026-03-10 13:35:00+00:00,BREAKDOWN_CANDIDATE,69774.57,0.00567,-0.00215,0.00577,0.01928,0.01283,0.00029,0.00182,0.01761
5m_2030,1773581700000,2026-03-15 13:35:00+00:00,BREAKDOWN_CANDIDATE,71291.68,0.00324,0.00436,0.00129,0.00285,0.0032,0.01123,0.01796,0.04269
5m_2091,1773833100000,2026-03-18 11:25:00+00:00,BREAKDOWN_CANDIDATE,73602.91,-0.00666,-0.00883,-0.01066,-0.01533,-0.03129,-0.03153,-0.03256,-0.04618
5m_2096,1773843900000,2026-03-18 14:25:00+00:00,BREAKDOWN_CANDIDATE,71652.21,-0.00222,-0.00641,-0.00492,-0.00589,0.00045,-0.00791,-0.00568,-0.0347
5m_2112,1773934800000,2026-03-19 15:40:00+00:00,BREAKDOWN_CANDIDATE,68900.01,0.00744,0.00638,0.009,0.00996,0.02243,0.01372,0.02482,0.01464
5m_2201,1774136700000,2026-03-21 23:45:00+00:00,BREAKDOWN_CANDIDATE,69591.39,-0.0164,-0.00987,-0.00784,-0.00942,-0.0038,-0.00761,-0.0184,-0.02367
5m_2213,1774214100000,2026-03-22 21:15:00+00:00,BREAKDOWN_CANDIDATE,67415.83,0.00478,0.00662,0.00839,0.0121,0.00862,0.02088,0.01264,0.05125
5m_2273,1774374000000,2026-03-24 17:40:00+00:00,BREAKDOWN_CANDIDATE,68946.27,0.00424,0.00609,0.00848,0.00724,0.01928,0.02599,0.03299,0.02853
5m_2301,1774517400000,2026-03-26 09:30:00+00:00,BREAKDOWN_CANDIDATE,69469.15,-0.0008,0.00103,0.00216,-0.00147,-0.00309,-0.00475,-0.00589,-0.02419
5m_2426,1775095800000,2026-04-02 02:10:00+00:00,BREAKDOWN_CANDIDATE,66860.88,0.00059,-0.00232,-0.00151,-0.0049,-0.00424,-0.00895,-0.00693,-0.00527
5m_2520,1775369100000,2026-04-05 06:05:00+00:00,BREAKDOWN_CANDIDATE,66704.81,0.00062,0.0015,0.00259,0.00257,0.00444,0.0033,0.00879,0.03798
5m_2597,1775658600000,2026-04-08 14:30:00+00:00,BREAKDOWN_CANDIDATE,71029.99,0.00106,-0.00045,0.00221,0.00363,0.00744,0.00357,0.00028,-0.00524
5m_2694,1775948400000,2026-04-11 23:00:00+00:00,BREAKDOWN_CANDIDATE,73108.57,0.00021,8e-05,-0.00284,-0.00087,-0.01735,-0.02064,-0.02281,-0.03175
5m_2697,1775957400000,2026-04-12 01:30:00+00:00,BREAKDOWN_CANDIDATE,72606.01,-0.01654,-0.01621,-0.00974,-0.01301,-0.01308,-0.01346,-0.02116,-0.02017
5m_2787,1776347400000,2026-04-16 13:50:00+00:00,BREAKDOWN_CANDIDATE,73432.33,0.00702,0.00177,0.00783,0.01621,0.01216,0.02072,0.0157,0.05246
5m_2856,1776618000000,2026-04-19 17:00:00+00:00,BREAKDOWN_CANDIDATE,75160.01,0.00177,-0.00019,-0.00608,-0.00386,-0.0064,-0.01162,-0.00937,0.00422
5m_2898,1776791700000,2026-04-21 17:15:00+00:00,BREAKDOWN_CANDIDATE,75101.3,0.0031,0.00815,0.0049,0.00677,0.00636,0.01442,0.03779,0.0498
5m_3066,1777266900000,2026-04-27 05:15:00+00:00,BREAKDOWN_CANDIDATE,78024.64,-0.002,-0.00302,-0.00219,-0.00434,-0.00334,-0.00346,-0.0172,-0.0136
5m_3072,1777303200000,2026-04-27 15:20:00+00:00,BREAKDOWN_CANDIDATE,76625.29,0.00547,0.00292,0.00135,0.00202,0.00181,0.00675,0.00099,-0.00733
5m_3109,1777469400000,2026-04-29 13:30:00+00:00,BREAKDOWN_CANDIDATE,76671.94,-0.00087,0.00051,0.00038,-0.00539,-0.00915,-0.01004,-0.00403,-0.00507
5m_3115,1777485900000,2026-04-29 18:05:00+00:00,BREAKDOWN_CANDIDATE,75020.3,0.00429,0.00404,0.00504,0.00811,0.01214,0.01714,0.0083,0.01711
