event_id,timestamp_open,datetime_open_utc,event_type,entry_price,fwd_ret_15m,fwd_ret_30m,fwd_ret_1h,fwd_ret_2h,fwd_ret_4h,fwd_ret_8h,fwd_ret_12h,fwd_ret_24h
5m_29,1767347100000,2026-01-02 09:45:00+00:00,BREAKOUT_CANDIDATE,89481.37,0.00021,0.00435,0.00294,0.00074,0.00022,0.00869,0.00554,0.00413
5m_31,1767348600000,2026-01-02 10:10:00+00:00,BREAKOUT_CANDIDATE,89836.09,-0.00267,-0.00151,-0.00341,-0.00392,-0.00782,0.00575,0.0032,-0.00119
5m_99,1767484800000,2026-01-04 00:00:00+00:00,BREAKOUT_CANDIDATE,90932.4,0.00289,0.00339,0.00573,0.00269,0.00362,0.00401,0.00439,0.00984
5m_124,1767573600000,2026-01-05 00:40:00+00:00,BREAKOUT_CANDIDATE,92043.61,0.00393,0.0099,0.01256,0.00955,0.00386,0.0048,0.0084,0.01746
5m_125,1767573900000,2026-01-05 00:45:00+00:00,BREAKOUT_CANDIDATE,92288.86,0.00201,0.00604,0.00983,0.00749,0.00169,0.00218,0.00573,0.01494
5m_126,1767575100000,2026-01-05 01:05:00+00:00,BREAKOUT_CANDIDATE,92911.36,-0.00012,0.00246,-0.00057,0.00108,-0.00252,-0.00539,0.00014,0.01027
5m_173,1767733800000,2026-01-06 21:10:00+00:00,BREAKOUT_CANDIDATE,92896.54,0.00672,0.0078,0.00228,0.00628,-0.0011,-0.00159,-0.00656,-0.01851
5m_231,1767972000000,2026-01-09 15:20:00+00:00,BREAKOUT_CANDIDATE,90907.39,0.00784,0.00148,0.0065,0.00393,-0.00578,-0.00207,-0.00303,-0.00351
5m_336,1768173300000,2026-01-11 23:15:00+00:00,BREAKOUT_CANDIDATE,91036.79,-0.00264,-0.00188,0.0017,0.00444,0.01553,0.00794,-0.00521,0.00139
5m_342,1768179300000,2026-01-12 00:55:00+00:00,BREAKOUT_CANDIDATE,91258.65,0.00303,0.00279,0.00169,0.01035,0.01005,-0.00555,-0.00514,0.00246
5m_346,1768183800000,2026-01-12 02:10:00+00:00,BREAKOUT_CANDIDATE,91731.66,0.00056,0.00219,0.00765,0.00402,0.00472,-0.01136,-0.01178,-0.00486
5m_347,1768185900000,2026-01-12 02:45:00+00:00,BREAKOUT_CANDIDATE,92188.87,-0.00025,0.00284,-0.00281,0.00079,-0.00333,-0.01852,-0.01464,-0.01101
5m_355,1768235100000,2026-01-12 16:25:00+00:00,BREAKOUT_CANDIDATE,92217.62,-0.00062,-0.00102,-0.00549,-0.00318,-0.00524,-0.00838,-0.00807,0.01065
5m_372,1768319700000,2026-01-13 15:55:00+00:00,BREAKOUT_CANDIDATE,93449.99,-0.00172,-0.00268,-0.00065,-0.00223,0.00831,0.02102,0.0243,0.03547
5m_375,1768341900000,2026-01-13 22:05:00+00:00,BREAKOUT_CANDIDATE,94700.4,0.00761,0.00768,0.01107,0.00937,0.00639,0.00116,0.00446,0.02836
5m_391,1768401900000,2026-01-14 14:45:00+00:00,BREAKOUT_CANDIDATE,96599.99,-0.00234,0.00309,0.00075,0.00932,0.00077,0.00668,-0.00344,-0.00606
5m_646,1769183100000,2026-01-23 15:45:00+00:00,BREAKOUT_CANDIDATE,89840.21,0.00111,-0.00124,0.00652,0.01198,-0.001,-0.00361,-0.001,-0.00542
5m_649,1769189100000,2026-01-23 17:25:00+00:00,BREAKOUT_CANDIDATE,90981.99,-0.00166,-0.0042,-0.00121,-0.01249,-0.01519,-0.01547,-0.01281,-0.01731
5m_1047,1770339000000,2026-02-06 00:50:00+00:00,BREAKOUT_CANDIDATE,63843.59,0.01023,0.00799,0.02405,0.01626,0.01615,0.01813,0.03946,0.09896
5m_1172,1770647700000,2026-02-09 14:35:00+00:00,BREAKOUT_CANDIDATE,69349.99,0.00011,0.00379,0.00114,0.00146,0.01466,0.01592,0.01073,-0.01109
5m_1208,1770818400000,2026-02-11 14:00:00+00:00,BREAKOUT_CANDIDATE,67879.71,0.00619,-0.00293,-0.02137,-0.01947,-0.02217,-0.00151,-0.00427,0.0019
5m_1264,1770995100000,2026-02-13 15:05:00+00:00,BREAKOUT_CANDIDATE,68258.08,0.00102,0.0103,0.01142,0.00571,0.01233,0.01001,0.00923,0.02229
5m_1265,1770996300000,2026-02-13 15:25:00+00:00,BREAKOUT_CANDIDATE,68895.88,-0.00241,-0.00296,0.00266,0.00116,0.00163,0.00015,0.00061,0.0142
5m_1399,1771428900000,2026-02-18 15:35:00+00:00,BREAKOUT_CANDIDATE,68109.96,-0.00374,-0.01427,-0.01336,-0.01339,-0.0313,-0.02513,-0.0183,-0.02487
5m_1421,1771521000000,2026-02-19 17:10:00+00:00,BREAKOUT_CANDIDATE,66660.76,-0.00059,-0.00076,-0.00033,0.00374,0.00551,0.01013,0.00895,0.00609
5m_1436,1771565400000,2026-02-20 05:30:00+00:00,BREAKOUT_CANDIDATE,67897.97,0.00115,-0.00193,-0.00096,0.00049,0.00362,-0.01498,-0.01279,-0.00033
5m_1716,1772464200000,2026-03-02 15:10:00+00:00,BREAKOUT_CANDIDATE,68425.1,0.00191,0.01595,0.01812,0.01452,0.00468,0.01166,0.00059,-0.0227
5m_1717,1772465700000,2026-03-02 15:35:00+00:00,BREAKOUT_CANDIDATE,69451.48,-0.00707,0.00413,-0.00401,-0.00492,-0.00825,-0.00893,-0.01416,-0.02724
5m_1719,1772467500000,2026-03-02 16:05:00+00:00,BREAKOUT_CANDIDATE,69738.01,-0.00215,-0.00811,-0.00613,-0.01035,-0.01218,-0.0114,-0.02016,-0.01679
5m_1720,1772469600000,2026-03-02 16:40:00+00:00,BREAKOUT_CANDIDATE,69861.03,-0.00619,-0.00633,-0.01455,-0.01053,-0.00904,-0.01078,-0.02385,-0.03056
5m_1738,1772553900000,2026-03-03 16:05:00+00:00,BREAKOUT_CANDIDATE,68567.41,0.00468,-0.01048,-0.00965,-0.00432,-0.0031,-0.00551,-0.01205,0.06327
