start_idx,end_idx,start_time,end_time,duration_candles,duration_hours,min_compression_ratio,mean_compression_ratio,vol_trend_ratio,mean_taker_buy_ratio,taker_drift,up_move_max,down_move_max,net_return_24h,outcome_category
45,50,2021-01-01 03:45:00+00:00,2021-01-01 04:10:00+00:00,6,0.5,1.0,1.0,1.2604,0.4988,0.0072,0.0106,0.0227,-0.0011,CATEGORY_B_DOWNWARD_EXPANSION
200,207,2021-01-01 16:40:00+00:00,2021-01-01 17:15:00+00:00,8,0.67,0.3736,0.5016,1.0045,0.45,-0.0582,0.1267,0.0227,0.1141,CATEGORY_A_UPWARD_EXPANSION
243,260,2021-01-01 20:15:00+00:00,2021-01-01 21:40:00+00:00,18,1.5,0.4963,0.5503,1.0437,0.5332,0.0306,0.1396,0.0093,0.0819,CATEGORY_A_UPWARD_EXPANSION
272,277,2021-01-01 22:40:00+00:00,2021-01-01 23:05:00+00:00,6,0.5,0.45,0.4755,1.065,0.4656,0.0049,0.1374,0.0113,0.0895,CATEGORY_A_UPWARD_EXPANSION
332,337,2021-01-02 03:40:00+00:00,2021-01-02 04:05:00+00:00,6,0.5,0.3665,0.4602,1.2479,0.4749,-0.0086,0.1373,0.0021,0.1154,CATEGORY_A_UPWARD_EXPANSION
713,718,2021-01-03 11:25:00+00:00,2021-01-03 11:50:00+00:00,6,0.5,0.5745,0.5884,1.6214,0.5903,0.0138,0.0082,0.1803,-0.1029,CATEGORY_B_DOWNWARD_EXPANSION
914,920,2021-01-04 04:10:00+00:00,2021-01-04 04:40:00+00:00,7,0.58,0.6317,0.6641,0.8254,0.4769,0.0313,0.0047,0.1541,-0.0557,CATEGORY_B_DOWNWARD_EXPANSION
1134,1139,2021-01-04 22:30:00+00:00,2021-01-04 22:55:00+00:00,6,0.5,0.3342,0.3976,1.1258,0.5682,-0.1141,0.0966,0.0457,0.091,CATEGORY_A_UPWARD_EXPANSION
1180,1185,2021-01-05 02:20:00+00:00,2021-01-05 02:45:00+00:00,6,0.5,0.4702,0.5099,0.6422,0.5237,0.012,0.063,0.075,0.0538,CATEGORY_C_FALSE_OR_CHOP
1311,1316,2021-01-05 13:15:00+00:00,2021-01-05 13:40:00+00:00,6,0.5,0.5499,0.5762,1.1213,0.4701,0.0062,0.1244,0.0219,0.083,CATEGORY_A_UPWARD_EXPANSION
1359,1366,2021-01-05 17:15:00+00:00,2021-01-05 17:50:00+00:00,8,0.67,0.5172,0.5459,0.975,0.4421,0.0084,0.0998,0.0001,0.072,CATEGORY_A_UPWARD_EXPANSION
1405,1412,2021-01-05 21:05:00+00:00,2021-01-05 21:40:00+00:00,8,0.67,0.491,0.5628,1.107,0.4895,0.017,0.0785,0.0156,0.0635,CATEGORY_A_UPWARD_EXPANSION
1459,1467,2021-01-06 01:35:00+00:00,2021-01-06 02:15:00+00:00,9,0.75,0.694,0.722,1.1142,0.5013,0.0863,0.0935,0.0218,0.0756,CATEGORY_A_UPWARD_EXPANSION
1711,1716,2021-01-06 22:35:00+00:00,2021-01-06 23:00:00+00:00,6,0.5,0.5715,0.6472,1.2167,0.5005,-0.0361,0.1145,0.0019,0.0876,CATEGORY_A_UPWARD_EXPANSION
1781,1787,2021-01-07 04:25:00+00:00,2021-01-07 04:55:00+00:00,7,0.58,0.61,0.6891,0.9867,0.5117,-0.0144,0.0778,0.0307,0.0325,CATEGORY_A_UPWARD_EXPANSION
1860,1865,2021-01-07 11:00:00+00:00,2021-01-07 11:25:00+00:00,6,0.5,0.5968,0.6209,0.9769,0.4665,-0.0229,0.1159,0.0185,0.1065,CATEGORY_A_UPWARD_EXPANSION
2296,2303,2021-01-08 23:20:00+00:00,2021-01-08 23:55:00+00:00,8,0.67,0.5764,0.6813,0.8654,0.5066,-0.1215,0.0196,0.0459,-0.0122,CATEGORY_B_DOWNWARD_EXPANSION
2457,2463,2021-01-09 12:45:00+00:00,2021-01-09 13:15:00+00:00,7,0.58,0.3504,0.3999,1.2763,0.5458,-0.0132,0.0143,0.0575,-0.0209,CATEGORY_B_DOWNWARD_EXPANSION
2510,2515,2021-01-09 17:10:00+00:00,2021-01-09 17:35:00+00:00,6,0.5,0.5593,0.6924,0.6995,0.4496,-0.0373,0.0229,0.0797,-0.0767,CATEGORY_B_DOWNWARD_EXPANSION
2521,2531,2021-01-09 18:05:00+00:00,2021-01-09 18:55:00+00:00,11,0.92,0.4745,0.4952,1.0607,0.4417,-0.0783,0.0172,0.0849,-0.0625,CATEGORY_B_DOWNWARD_EXPANSION
2533,2544,2021-01-09 19:05:00+00:00,2021-01-09 20:00:00+00:00,12,1.0,0.4051,0.4502,0.8365,0.4738,-0.1149,0.0155,0.0886,-0.0773,CATEGORY_B_DOWNWARD_EXPANSION
2584,2589,2021-01-09 23:20:00+00:00,2021-01-09 23:45:00+00:00,6,0.5,0.5447,0.6106,1.3077,0.5219,0.0386,0.0282,0.1269,-0.0436,CATEGORY_B_DOWNWARD_EXPANSION
2666,2671,2021-01-10 06:10:00+00:00,2021-01-10 06:35:00+00:00,6,0.5,0.6252,0.6368,0.8674,0.4886,0.0325,0.008,0.1775,-0.1682,CATEGORY_B_DOWNWARD_EXPANSION
3177,3186,2021-01-12 00:45:00+00:00,2021-01-12 01:30:00+00:00,10,0.83,0.5221,0.5803,1.0526,0.5038,-0.0565,0.0552,0.0672,-0.055,CATEGORY_C_FALSE_OR_CHOP
3209,3214,2021-01-12 03:25:00+00:00,2021-01-12 03:50:00+00:00,6,0.5,0.5799,0.5848,0.6753,0.5052,-0.0519,0.0566,0.066,-0.0271,CATEGORY_C_FALSE_OR_CHOP
3283,3288,2021-01-12 09:35:00+00:00,2021-01-12 10:00:00+00:00,6,0.5,0.4114,0.5,1.1546,0.4913,-0.0352,0.0004,0.1031,-0.0402,CATEGORY_B_DOWNWARD_EXPANSION
3374,3380,2021-01-12 17:10:00+00:00,2021-01-12 17:40:00+00:00,7,0.58,0.7019,0.7812,0.7415,0.459,-0.0361,0.0248,0.0666,0.0057,CATEGORY_B_DOWNWARD_EXPANSION
3639,3644,2021-01-13 15:15:00+00:00,2021-01-13 15:40:00+00:00,6,0.5,0.7238,0.7459,0.6523,0.4422,0.0468,0.1561,0.0085,0.1419,CATEGORY_A_UPWARD_EXPANSION
3650,3661,2021-01-13 16:10:00+00:00,2021-01-13 17:05:00+00:00,12,1.0,0.3517,0.4768,0.8774,0.4948,0.0024,0.1534,0.0033,0.1362,CATEGORY_A_UPWARD_EXPANSION
3775,3782,2021-01-14 02:35:00+00:00,2021-01-14 03:10:00+00:00,8,0.67,0.6497,0.7387,0.5829,0.5036,-0.0439,0.0724,0.0185,0.042,CATEGORY_A_UPWARD_EXPANSION
3794,3800,2021-01-14 04:10:00+00:00,2021-01-14 04:40:00+00:00,7,0.58,0.7725,0.8021,0.8949,0.5108,-0.062,0.0739,0.0021,0.0353,CATEGORY_A_UPWARD_EXPANSION
3957,3965,2021-01-14 17:45:00+00:00,2021-01-14 18:25:00+00:00,9,0.75,0.5351,0.6495,1.1605,0.5719,0.0635,0.0137,0.1266,-0.089,CATEGORY_B_DOWNWARD_EXPANSION
4044,4052,2021-01-15 01:00:00+00:00,2021-01-15 01:40:00+00:00,9,0.75,0.6569,0.739,0.9665,0.5118,-0.0156,0.0008,0.1278,-0.0644,CATEGORY_B_DOWNWARD_EXPANSION
4434,4439,2021-01-16 09:30:00+00:00,2021-01-16 09:55:00+00:00,6,0.5,0.4302,0.5402,1.0668,0.481,-0.062,0.0134,0.0921,-0.0874,CATEGORY_B_DOWNWARD_EXPANSION
4461,4466,2021-01-16 11:45:00+00:00,2021-01-16 12:10:00+00:00,6,0.5,0.5757,0.6036,1.4473,0.5371,0.116,0.0003,0.1033,-0.0651,CATEGORY_B_DOWNWARD_EXPANSION
4566,4571,2021-01-16 20:30:00+00:00,2021-01-16 20:55:00+00:00,6,0.5,0.4684,0.5437,0.5312,0.4396,0.0466,0.0009,0.0779,-0.0174,CATEGORY_B_DOWNWARD_EXPANSION
5064,5069,2021-01-18 14:00:00+00:00,2021-01-18 14:25:00+00:00,6,0.5,0.6461,0.6761,0.8539,0.4789,-0.0463,0.0197,0.0383,0.0102,CATEGORY_B_DOWNWARD_EXPANSION
5161,5167,2021-01-18 22:05:00+00:00,2021-01-18 22:35:00+00:00,7,0.58,0.5776,0.6123,0.9154,0.5148,0.0224,0.0425,0.0084,0.0042,CATEGORY_A_UPWARD_EXPANSION
5242,5250,2021-01-19 04:50:00+00:00,2021-01-19 05:30:00+00:00,9,0.75,0.6487,0.7062,1.0059,0.4102,-0.0672,0.0386,0.0468,-0.0274,CATEGORY_C_FALSE_OR_CHOP
5302,5309,2021-01-19 09:50:00+00:00,2021-01-19 10:25:00+00:00,8,0.67,0.6327,0.6801,0.879,0.419,-0.0451,0.0188,0.0755,-0.0643,CATEGORY_B_DOWNWARD_EXPANSION
5450,5455,2021-01-19 22:10:00+00:00,2021-01-19 22:35:00+00:00,6,0.5,0.6848,0.7331,1.5476,0.4412,-0.1497,0.0086,0.0839,-0.0393,CATEGORY_B_DOWNWARD_EXPANSION
5537,5544,2021-01-20 05:25:00+00:00,2021-01-20 06:00:00+00:00,8,0.67,0.6505,0.7132,0.9792,0.4681,0.0724,0.0144,0.0573,-0.022,CATEGORY_B_DOWNWARD_EXPANSION
5692,5698,2021-01-20 18:20:00+00:00,2021-01-20 18:50:00+00:00,7,0.58,0.4705,0.6483,0.6249,0.468,-0.0143,0.0201,0.1124,-0.094,CATEGORY_B_DOWNWARD_EXPANSION
5764,5770,2021-01-21 00:20:00+00:00,2021-01-21 00:50:00+00:00,7,0.58,0.5711,0.6149,1.0617,0.4773,-0.0221,0.0073,0.1681,-0.1505,CATEGORY_B_DOWNWARD_EXPANSION
6220,6228,2021-01-22 14:20:00+00:00,2021-01-22 15:00:00+00:00,9,0.75,0.3915,0.5018,0.6599,0.4663,0.059,0.0411,0.0339,-0.0212,CATEGORY_C_FALSE_OR_CHOP
6300,6308,2021-01-22 21:00:00+00:00,2021-01-22 21:40:00+00:00,9,0.75,0.3935,0.4462,0.7748,0.4733,-0.0121,0.0031,0.063,-0.0367,CATEGORY_B_DOWNWARD_EXPANSION
6375,6383,2021-01-23 03:15:00+00:00,2021-01-23 03:55:00+00:00,9,0.75,0.448,0.6412,0.9171,0.5247,-0.0323,0.0337,0.0301,0.0036,CATEGORY_C_FALSE_OR_CHOP
6388,6397,2021-01-23 04:20:00+00:00,2021-01-23 05:05:00+00:00,10,0.83,0.6538,0.6899,0.6232,0.4869,-0.0016,0.0284,0.0351,0.0104,CATEGORY_C_FALSE_OR_CHOP
6523,6530,2021-01-23 15:35:00+00:00,2021-01-23 16:10:00+00:00,8,0.67,0.5458,0.6353,1.292,0.4842,-0.0526,0.0376,0.0076,-0.0028,CATEGORY_A_UPWARD_EXPANSION
6537,6546,2021-01-23 16:45:00+00:00,2021-01-23 17:30:00+00:00,10,0.83,0.5119,0.6586,0.8488,0.5125,-0.0402,0.0304,0.0186,-0.0039,CATEGORY_A_UPWARD_EXPANSION
6558,6563,2021-01-23 18:30:00+00:00,2021-01-23 18:55:00+00:00,6,0.5,0.5816,0.6768,0.7043,0.4881,-0.0495,0.0281,0.0208,-0.0104,CATEGORY_A_UPWARD_EXPANSION
6585,6591,2021-01-23 20:45:00+00:00,2021-01-23 21:15:00+00:00,7,0.58,0.6152,0.6599,1.1187,0.5136,-0.047,0.0261,0.0412,-0.0157,CATEGORY_B_DOWNWARD_EXPANSION
6637,6642,2021-01-24 01:05:00+00:00,2021-01-24 01:30:00+00:00,6,0.5,0.4392,0.4755,0.6724,0.5013,-0.0522,0.0366,0.0315,0.0197,CATEGORY_C_FALSE_OR_CHOP
