horizon,n_samples,mean_signed_ret,median_signed_ret,std_signed_ret,skew_signed_ret,mean_abs_ret,median_abs_ret,p75_abs_ret,p95_abs_ret,mean_mfe,mean_mae,mfe_mae_ratio,sample_group
15m,7136,0.0005034322627331187,0.0002076841394436225,0.0099889800906969,0.4356252724620817,0.006063716206310287,0.0036532577294461745,0.007682312455799116,0.01991419279785865,0.006664833500051562,0.006580446574614949,1.0128238903666733,DISCOVERY_EVENTS
30m,7136,0.0009218528024817437,0.00029679846914045134,0.012595158008573769,1.0114147079763596,0.007902089863859993,0.004758518477790558,0.009995508905950475,0.026535964169645432,0.008881451275490468,0.00868902478842993,1.0221459245135043,DISCOVERY_EVENTS
1h,7136,0.0014010119962840984,0.0004991149497660459,0.01531260415561914,0.7675614940387413,0.009927167140036936,0.0059238776355966674,0.012949410945301153,0.03360937256014693,0.011534160255570268,0.011150216029687087,1.0344337925705602,DISCOVERY_EVENTS
2h,7136,0.002028415189741555,0.0007581670396756245,0.019858116718153962,0.6445969996327674,0.013081261207436586,0.00801827235284092,0.017361672282937703,0.04331923843048687,0.014845805555989886,0.014419108317158646,1.0295924844619881,DISCOVERY_EVENTS
4h,7136,0.002886569494102344,0.0011992635310744983,0.025934706286868756,0.9271987328164795,0.017408015837495194,0.010912421830823499,0.023799037133355176,0.05496749622083222,0.019379356730358583,0.01893561068503147,1.0234344723657576,DISCOVERY_EVENTS
8h,7136,0.002936304101486377,0.001075738485484241,0.031297493146028636,0.44178019457901535,0.021707193048423425,0.014423766463053588,0.029448891660101256,0.0683822213427322,0.024791572831891782,0.025439536175511875,0.9745292783976218,DISCOVERY_EVENTS
12h,7136,0.004341045144180369,0.0015929609035441055,0.03538672841292069,0.46626886335221934,0.024630561986925946,0.0161195476581784,0.033061091739336954,0.07991146308803772,0.028779849328015486,0.029712902512199647,0.9685977099073015,DISCOVERY_EVENTS
24h,7136,0.007638402563464882,0.0031174594831828275,0.046744154962104593,0.4541845849064131,0.033236983201010165,0.02254253016273345,0.045284633835131594,0.10365979731011962,0.03877578016488115,0.0371374778516926,1.0441145281790827,DISCOVERY_EVENTS
3d,7136,0.010610882755007274,0.004624753934418689,0.07154968791289776,0.4108590876381871,0.05249764938339908,0.03670232854992546,0.07358455518390958,0.1533670805755286,0.06149019773121834,0.05704473729621344,1.0779293699245414,DISCOVERY_EVENTS
7d,7136,0.014531260306209095,0.010112276957637917,0.08986074096525425,-0.0005458834865015177,0.06601836334739512,0.046609566559997,0.09166522604156982,0.20122551593986704,0.08383351912782681,0.07927279769076291,1.0575319853710088,DISCOVERY_EVENTS
15m,420555,1.462824050505616e-05,8.355232838294156e-06,0.0035302526650748726,0.03596027189063045,0.0021210945912208583,0.001290258589412652,0.002629455920568305,0.006851473524703685,0.002157861711740109,0.002201993463264145,0.979958273146453,UNCONDITIONAL_BASELINE
30m,420555,2.8987119797995937e-05,2.0412240664024246e-05,0.004933562383087717,-0.0756905421047864,0.002968321687575582,0.0017768524153762416,0.003684242779943667,0.009753173970454972,0.0030955192249097615,0.0031802631730700427,0.9733531649588376,UNCONDITIONAL_BASELINE
1h,420555,5.711969491026569e-05,4.737572542140664e-05,0.006851694555503678,-0.04994276879911337,0.00417176069007053,0.002487315829688631,0.005185384281768224,0.013844324478941596,0.004426317002972865,0.004578628842836716,0.9667341806702364,UNCONDITIONAL_BASELINE
2h,420555,0.00011290562278438899,8.82211298946907e-05,0.009596223498814244,0.06704607197851595,0.005929413822872434,0.0035012786056317106,0.007424427949571941,0.019961939256294674,0.006338871113496492,0.0066017410758505545,0.960181721861881,UNCONDITIONAL_BASELINE
4h,420555,0.0002239557146441449,0.0001309089859570498,0.013463420806402759,0.1363338273882105,0.008486230517102945,0.004976657078550159,0.010901709997195523,0.028411633886951917,0.009115766977357177,0.009510422878974767,0.9585028019637194,UNCONDITIONAL_BASELINE
8h,420555,0.0004411015142706072,0.0001786166854987314,0.018678408755425115,0.062346854839563245,0.012132486062889998,0.007272151518815867,0.016044681176234022,0.040181136155599775,0.0131515888221754,0.01366475598580458,0.9624459328683018,UNCONDITIONAL_BASELINE
12h,420555,0.000660743558031541,0.00021046168741266076,0.022854232881834215,0.044578984438819205,0.015176197239389346,0.009456351697751905,0.020367546338088238,0.04947432372853281,0.016326964754658807,0.016855472879886202,0.9686447168232184,UNCONDITIONAL_BASELINE
24h,420555,0.0013350542430873226,0.0005682571239231762,0.03270087201500554,0.11356292796238986,0.022395394944024687,0.014744009525226882,0.030765203906280875,0.07012290008304725,0.023691517373828363,0.024114909553133657,0.9824427216543188,UNCONDITIONAL_BASELINE
3d,420555,0.003871602662336385,0.0016875885579827256,0.05576316256731451,0.10493730748010492,0.04026986513512564,0.028365022353646976,0.056635740017070016,0.11875836904478103,0.04260331096952138,0.041888438743278,1.0170660986107556,UNCONDITIONAL_BASELINE
7d,420555,0.008974185526530704,0.003956115502827197,0.08657002312026087,0.23240919174818322,0.06256818524233056,0.04368974462979721,0.08734823146537815,0.18995036609728427,0.06736424694241283,0.06282131941118649,1.072315060775648,UNCONDITIONAL_BASELINE
