forward_horizon,lookback_offset,lookback_steps,spearman_corr,abs_spearman_corr,p_value,n_samples
15m,T_minus_5m,1,0.0996,0.0996,3.453168860937202e-17,7136
15m,T_minus_15m,3,0.1172,0.1172,3.000695515686809e-23,7136
15m,T_minus_30m,6,0.108,0.108,5.776140269044817e-20,7136
15m,T_minus_1h,12,0.1218,0.1218,5.169824868018571e-25,7136
15m,T_minus_2h,24,0.1221,0.1221,4.313110281821317e-25,7136
15m,T_minus_4h,48,0.1027,0.1027,3.3825308006218814e-18,7136
15m,T_minus_8h,96,0.1211,0.1211,1.0120142278866584e-24,7136
15m,T_minus_12h,144,0.0956,0.0956,5.724627030853965e-16,7136
15m,T_minus_24h,288,0.1147,0.1147,2.4920974171861883e-22,7134
30m,T_minus_5m,1,0.0871,0.0871,1.654398830812064e-13,7136
30m,T_minus_15m,3,0.1078,0.1078,6.658858799399539e-20,7136
30m,T_minus_30m,6,0.1074,0.1074,9.493226121821848e-20,7136
30m,T_minus_1h,12,0.1178,0.1178,1.7896341239967272e-23,7136
30m,T_minus_2h,24,0.121,0.121,1.1016686312886369e-24,7136
30m,T_minus_4h,48,0.1081,0.1081,5.316057587640724e-20,7136
30m,T_minus_8h,96,0.0955,0.0955,6.385918338360854e-16,7136
30m,T_minus_12h,144,0.1068,0.1068,1.4861394193966676e-19,7136
30m,T_minus_24h,288,0.1345,0.1345,3.8553692368901326e-30,7134
1h,T_minus_5m,1,0.0861,0.0861,3.2144582319889254e-13,7136
1h,T_minus_15m,3,0.1085,0.1085,3.789789747459684e-20,7136
1h,T_minus_30m,6,0.1001,0.1001,2.324652360618072e-17,7136
1h,T_minus_1h,12,0.0983,0.0983,8.477864847071799e-17,7136
1h,T_minus_2h,24,0.1238,0.1238,8.735948090326622e-26,7136
1h,T_minus_4h,48,0.0998,0.0998,2.873442392036542e-17,7136
1h,T_minus_8h,96,0.1025,0.1025,4.098799607501473e-18,7136
1h,T_minus_12h,144,0.1046,0.1046,8.343154394698972e-19,7136
1h,T_minus_24h,288,0.1302,0.1302,2.4411633327897195e-28,7134
2h,T_minus_5m,1,0.0581,0.0581,9.100417602469438e-07,7136
2h,T_minus_15m,3,0.0842,0.0842,1.015582538722443e-12,7136
2h,T_minus_30m,6,0.0794,0.0794,1.87814508284089e-11,7136
2h,T_minus_1h,12,0.0755,0.0755,1.7400062421543313e-10,7136
2h,T_minus_2h,24,0.105,0.105,5.965439055330698e-19,7136
2h,T_minus_4h,48,0.0963,0.0963,3.66527516004202e-16,7136
2h,T_minus_8h,96,0.097,0.097,2.150967093325172e-16,7136
2h,T_minus_12h,144,0.1202,0.1202,2.2805294857469008e-24,7136
2h,T_minus_24h,288,0.1343,0.1343,4.643330290871197e-30,7134
4h,T_minus_5m,1,0.0062,0.0062,0.6005704999190744,7136
4h,T_minus_15m,3,0.0437,0.0437,0.00021873299209179228,7136
4h,T_minus_30m,6,0.0532,0.0532,6.866648231869174e-06,7136
4h,T_minus_1h,12,0.0625,0.0625,1.2765108938514748e-07,7136
4h,T_minus_2h,24,0.0798,0.0798,1.4429081510749424e-11,7136
4h,T_minus_4h,48,0.0636,0.0636,7.611734154566385e-08,7136
4h,T_minus_8h,96,0.074,0.074,3.782161706403598e-10,7136
4h,T_minus_12h,144,0.1142,0.1142,3.920996730332459e-22,7136
4h,T_minus_24h,288,0.1399,0.1399,1.698264846578204e-32,7134
8h,T_minus_5m,1,0.0344,0.0344,0.0036211432679058362,7136
8h,T_minus_15m,3,0.0687,0.0687,6.199592349046799e-09,7136
8h,T_minus_30m,6,0.0779,0.0779,4.4146233747441204e-11,7136
8h,T_minus_1h,12,0.0844,0.0844,9.067469150586994e-13,7136
8h,T_minus_2h,24,0.0914,0.0914,1.050975480803795e-14,7136
8h,T_minus_4h,48,0.0754,0.0754,1.8099204892234253e-10,7136
8h,T_minus_8h,96,0.1049,0.1049,6.423237239506772e-19,7136
8h,T_minus_12h,144,0.146,0.146,2.791916466944227e-35,7136
8h,T_minus_24h,288,0.1191,0.1191,5.639146673932689e-24,7134
12h,T_minus_5m,1,0.0657,0.0657,2.7269043139339925e-08,7136
12h,T_minus_15m,3,0.1034,0.1034,2.0826167287099834e-18,7136
12h,T_minus_30m,6,0.1127,0.1127,1.34428323126616e-21,7136
12h,T_minus_1h,12,0.1121,0.1121,2.1251002783957665e-21,7136
12h,T_minus_2h,24,0.1173,0.1173,2.735576993117401e-23,7136
12h,T_minus_4h,48,0.1184,0.1184,1.0920825260756553e-23,7136
12h,T_minus_8h,96,0.1058,0.1058,3.264533510966338e-19,7136
12h,T_minus_12h,144,0.1571,0.1571,1.1881427744095297e-40,7136
12h,T_minus_24h,288,0.0642,0.0642,5.7371904926411834e-08,7134
24h,T_minus_5m,1,0.0922,0.0922,6.148483090857919e-15,7136
24h,T_minus_15m,3,0.1357,0.1357,1.0821189297686121e-30,7136
24h,T_minus_30m,6,0.1497,0.1497,5.014345601340178e-37,7136
24h,T_minus_1h,12,0.1498,0.1498,4.5670001942031194e-37,7136
24h,T_minus_2h,24,0.1464,0.1464,1.8315461192071367e-35,7136
24h,T_minus_4h,48,0.1638,0.1638,4.0899741366535406e-44,7136
24h,T_minus_8h,96,0.1047,0.1047,7.4340314310881625e-19,7136
24h,T_minus_12h,144,0.1491,0.1491,9.73110366648631e-37,7136
24h,T_minus_24h,288,0.04,0.04,0.0007302654750058356,7134
3d,T_minus_5m,1,0.0166,0.0166,0.15983660250469922,7136
3d,T_minus_15m,3,0.0556,0.0556,2.5654773895201243e-06,7136
3d,T_minus_30m,6,0.0758,0.0758,1.4512460817453132e-10,7136
3d,T_minus_1h,12,0.0738,0.0738,4.3500552001115053e-10,7136
3d,T_minus_2h,24,0.07,0.07,3.3050633894542235e-09,7136
3d,T_minus_4h,48,0.0734,0.0734,5.315748097960941e-10,7136
3d,T_minus_8h,96,0.0604,0.0604,3.316092408274654e-07,7136
3d,T_minus_12h,144,0.0878,0.0878,1.092892742051215e-13,7136
3d,T_minus_24h,288,0.0479,0.0479,5.164624999561431e-05,7134
7d,T_minus_5m,1,0.1492,0.1492,8.782730041196031e-37,7136
7d,T_minus_15m,3,0.1545,0.1545,2.2409208471086876e-39,7136
7d,T_minus_30m,6,0.1529,0.1529,1.3607884091011097e-38,7136
7d,T_minus_1h,12,0.1263,0.1263,9.444310015418008e-27,7136
7d,T_minus_2h,24,0.1323,0.1323,3.108179210850114e-29,7136
7d,T_minus_4h,48,0.1197,0.1197,3.432958414188637e-24,7136
7d,T_minus_8h,96,0.0623,0.0623,1.3641402943342998e-07,7136
7d,T_minus_12h,144,0.0338,0.0338,0.004285685161198185,7136
7d,T_minus_24h,288,-0.0189,0.0189,0.10965622326324095,7134
