n_event,n_control,cohens_d,ks_stat,ks_pvalue,is_significant_p01,event_mean,control_mean,event_median,control_median,event_p10,event_p90,control_p10,control_p90,shift_direction,offset,feature
7136,4362,0.7863,0.3851,8.794e-321,True,1.5295,0.924,1.3183,0.894,0.5363,2.8836,0.4936,1.3644,HIGHER_PRE_EVENT,T_minus_5m,volatility_compression_ratio
7136,4362,0.6285,0.3758,9.22e-321,True,0.0035,0.0018,0.0022,0.0019,0.0009,0.0083,0.0011,0.0026,HIGHER_PRE_EVENT,T_minus_5m,volatility_realized_24h
7136,4362,0.9525,0.483,4.22e-321,True,2.1158,-0.0686,1.25,-0.3774,-0.4523,6.0186,-0.8291,1.0351,HIGHER_PRE_EVENT,T_minus_5m,volume_zscore_24h
7136,4362,0.0554,0.0674,3.941845234858745e-11,True,0.4929,0.4877,0.4923,0.4886,0.3789,0.6122,0.3711,0.5876,NEUTRAL,T_minus_5m,volume_buy_ratio
7136,4362,-0.0513,0.2684,4.561973687638987e-172,True,-0.0009,0.0002,-0.0003,0.0006,-0.0351,0.0337,-0.0061,0.0061,NEUTRAL,T_minus_5m,return_log_1h
7136,4362,-0.451,0.3091,4.685736461483223e-229,True,-0.0194,0.0049,-0.0074,0.0032,-0.112,0.0474,-0.0199,0.0411,LOWER_PRE_EVENT,T_minus_5m,return_log_24h
7136,4362,-0.276,0.2101,3.935470972599502e-105,True,-0.0001,0.0,-0.0,0.0,-0.0005,0.0003,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_5m,trend_slope_24h
7136,4362,0.6194,0.2789,6.36572793262468e-186,True,1.3814,0.9279,1.1489,0.9017,0.5127,2.6078,0.4972,1.3848,HIGHER_PRE_EVENT,T_minus_15m,volatility_compression_ratio
7136,4362,0.6028,0.3642,7.7914e-320,True,0.0035,0.0019,0.0021,0.0019,0.0008,0.0083,0.0011,0.0027,HIGHER_PRE_EVENT,T_minus_15m,volatility_realized_24h
7136,4362,0.7222,0.3623,1.6837105e-316,True,1.3585,-0.0433,0.5896,-0.3151,-0.5558,4.3201,-0.8473,1.0581,HIGHER_PRE_EVENT,T_minus_15m,volume_zscore_24h
7136,4362,0.1029,0.0769,2.3476415689122302e-14,True,0.4917,0.4817,0.4937,0.491,0.3836,0.5997,0.3129,0.5976,NEUTRAL,T_minus_15m,volume_buy_ratio
7136,4362,-0.0185,0.2122,3.751033181643481e-107,True,-0.0006,-0.0002,-0.0001,-0.0002,-0.0307,0.029,-0.006,0.0061,NEUTRAL,T_minus_15m,return_log_1h
7136,4362,-0.4301,0.2738,4.1753507361632406e-179,True,-0.019,0.0036,-0.006,0.003,-0.111,0.0445,-0.0271,0.037,LOWER_PRE_EVENT,T_minus_15m,return_log_24h
7136,4362,-0.2819,0.2074,2.180609248237827e-102,True,-0.0,0.0,-0.0,0.0,-0.0005,0.0003,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_15m,trend_slope_24h
7136,4362,0.5018,0.2073,2.6760667456596217e-102,True,1.2633,0.9219,1.0548,0.852,0.5053,2.2981,0.4928,1.4506,HIGHER_PRE_EVENT,T_minus_30m,volatility_compression_ratio
7136,4362,0.5789,0.3489,5.281485488647256e-293,True,0.0034,0.0019,0.0021,0.0019,0.0008,0.0083,0.0011,0.0027,HIGHER_PRE_EVENT,T_minus_30m,volatility_realized_24h
7136,4362,0.5684,0.2437,1.268758439954802e-141,True,1.0324,-0.0195,0.235,-0.302,-0.6138,3.6412,-0.8474,1.1804,HIGHER_PRE_EVENT,T_minus_30m,volume_zscore_24h
7136,4362,-0.0682,0.0796,2.2438649153658536e-15,True,0.4916,0.4978,0.4925,0.5047,0.3824,0.6023,0.3975,0.5945,NEUTRAL,T_minus_30m,volume_buy_ratio
7136,4362,0.0107,0.1674,1.0802566737330945e-66,True,-0.0005,-0.0007,-0.0001,-0.0005,-0.0226,0.0214,-0.0093,0.0061,NEUTRAL,T_minus_30m,return_log_1h
7136,4362,-0.4372,0.2498,7.403494514294233e-149,True,-0.0188,0.0036,-0.0052,0.0034,-0.1083,0.0416,-0.0293,0.0367,LOWER_PRE_EVENT,T_minus_30m,return_log_24h
7136,4362,-0.2922,0.2042,3.0220564335031592e-99,True,-0.0,0.0,-0.0,0.0,-0.0004,0.0003,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_30m,trend_slope_24h
7136,4362,0.3195,0.1401,8.370445867588709e-47,True,1.0585,0.8894,0.9134,0.7983,0.477,1.7844,0.497,1.4245,HIGHER_PRE_EVENT,T_minus_1h,volatility_compression_ratio
7136,4362,0.5374,0.3277,6.40737683523249e-258,True,0.0034,0.0019,0.0019,0.0019,0.0008,0.0083,0.0011,0.0027,HIGHER_PRE_EVENT,T_minus_1h,volatility_realized_24h
7136,4362,0.3301,0.1189,8.75577769917713e-34,True,0.4392,-0.0166,-0.0764,-0.2262,-0.6946,2.1442,-0.869,1.0434,HIGHER_PRE_EVENT,T_minus_1h,volume_zscore_24h
7136,4362,-0.0247,0.051,1.4747412513832228e-06,True,0.489,0.4913,0.4918,0.4929,0.3784,0.5977,0.3808,0.585,NEUTRAL,T_minus_1h,volume_buy_ratio
7136,4362,0.0322,0.1323,8.967194167408117e-42,True,-0.0009,-0.0013,-0.0001,-0.0008,-0.0145,0.0118,-0.0084,0.0046,NEUTRAL,T_minus_1h,return_log_1h
7136,4362,-0.4291,0.2272,5.2414545972910565e-123,True,-0.0192,0.0022,-0.0047,0.0016,-0.1081,0.0375,-0.0389,0.0372,LOWER_PRE_EVENT,T_minus_1h,return_log_24h
7136,4362,-0.3116,0.2046,1.3550120507632447e-99,True,-0.0,0.0,-0.0,0.0,-0.0004,0.0002,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_1h,trend_slope_24h
7136,4362,0.2871,0.1413,1.457209947145814e-47,True,0.9726,0.8416,0.8687,0.812,0.467,1.5926,0.4752,1.2968,HIGHER_PRE_EVENT,T_minus_2h,volatility_compression_ratio
7136,4362,0.5107,0.3105,4.4884081923047464e-231,True,0.0033,0.0019,0.0019,0.0019,0.0008,0.0082,0.0011,0.0028,HIGHER_PRE_EVENT,T_minus_2h,volatility_realized_24h
7136,4362,0.28,0.1605,2.400257614304752e-61,True,0.1858,-0.1273,-0.168,-0.3761,-0.721,1.3848,-0.8308,0.7242,HIGHER_PRE_EVENT,T_minus_2h,volume_zscore_24h
7136,4362,0.0398,0.0588,1.4282386282907662e-08,True,0.4886,0.485,0.4913,0.4902,0.3782,0.5955,0.3832,0.5718,NEUTRAL,T_minus_2h,volume_buy_ratio
7136,4362,-0.1424,0.1117,6.897581806301942e-30,True,-0.0006,0.001,-0.0001,0.0009,-0.012,0.0097,-0.0056,0.007,NEUTRAL,T_minus_2h,return_log_1h
7136,4362,-0.4402,0.2182,2.0623298281248602e-113,True,-0.0188,0.0026,-0.0042,0.0038,-0.107,0.0348,-0.0347,0.0308,LOWER_PRE_EVENT,T_minus_2h,return_log_24h
7136,4362,-0.3501,0.2048,8.562463794782923e-100,True,-0.0001,0.0,-0.0,0.0,-0.0004,0.0002,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_2h,trend_slope_24h
7136,4362,0.3546,0.1426,1.8970213381505432e-48,True,0.9411,0.7815,0.8262,0.76,0.4567,1.5533,0.4163,1.217,HIGHER_PRE_EVENT,T_minus_4h,volatility_compression_ratio
7136,4362,0.4842,0.2947,7.226233399530244e-208,True,0.0033,0.002,0.0019,0.0019,0.0008,0.0078,0.0012,0.0028,HIGHER_PRE_EVENT,T_minus_4h,volatility_realized_24h
7136,4362,0.3542,0.2253,6.861972783480655e-121,True,0.1195,-0.2575,-0.2262,-0.4805,-0.7439,1.2732,-0.8329,0.5996,HIGHER_PRE_EVENT,T_minus_4h,volume_zscore_24h
7136,4362,-0.0188,0.0551,1.3828284361495808e-07,True,0.489,0.4908,0.491,0.4861,0.3725,0.6011,0.367,0.6172,NEUTRAL,T_minus_4h,volume_buy_ratio
7136,4362,0.0069,0.1022,4.37092077975646e-25,True,-0.0005,-0.0006,-0.0001,-0.0004,-0.0119,0.0096,-0.0064,0.0049,NEUTRAL,T_minus_4h,return_log_1h
7136,4362,-0.4628,0.1989,3.6719404310369166e-94,True,-0.0188,0.0036,-0.0041,0.0054,-0.1077,0.0337,-0.033,0.0343,LOWER_PRE_EVENT,T_minus_4h,return_log_24h
7136,4362,-0.3973,0.2253,7.019940883399164e-121,True,-0.0001,0.0,-0.0,0.0,-0.0004,0.0002,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_4h,trend_slope_24h
7136,4362,0.3432,0.1698,1.2953454720836506e-68,True,0.9298,0.767,0.8023,0.6894,0.4519,1.5219,0.4215,1.2376,HIGHER_PRE_EVENT,T_minus_8h,volatility_compression_ratio
7136,4362,0.4304,0.2787,1.1311411165457888e-185,True,0.0031,0.002,0.0019,0.002,0.0008,0.0071,0.0012,0.0031,HIGHER_PRE_EVENT,T_minus_8h,volatility_realized_24h
7136,4362,0.2545,0.1684,1.7001732102780344e-67,True,0.068,-0.1937,-0.2613,-0.3812,-0.7626,1.1948,-0.8694,0.8885,HIGHER_PRE_EVENT,T_minus_8h,volume_zscore_24h
7136,4362,-0.0762,0.1002,3.946516069668785e-24,True,0.4894,0.4969,0.4906,0.5012,0.3759,0.6042,0.3694,0.6002,NEUTRAL,T_minus_8h,volume_buy_ratio
