test_quarter,train_span,n_train_candles,n_test_candles,n_train_events,n_test_events,test_event_frequency_pct,test_mean_ev_fwd_abs_24h,test_mean_non_ev_fwd_abs_24h,cohens_d_fwd_abs
2022Q1,2021Q1 to 2021Q4,104923,25920,2945,414,1.597,0.0363,0.0256,0.409
2022Q2,2021Q1 to 2022Q1,130843,26208,3359,544,2.076,0.0396,0.0277,0.4622
2022Q3,2021Q1 to 2022Q2,157051,26496,3903,293,1.106,0.0298,0.0229,0.3156
2022Q4,2021Q1 to 2022Q3,183547,26496,4196,342,1.291,0.0344,0.0145,1.0801
2023Q1,2021Q1 to 2022Q4,210043,25904,4538,330,1.274,0.0247,0.0208,0.1586
2023Q2,2021Q1 to 2023Q1,235947,26208,4868,305,1.164,0.02,0.0156,0.2844
2023Q3,2021Q1 to 2023Q2,262155,26496,5173,418,1.578,0.0119,0.0094,0.1986
2023Q4,2021Q1 to 2023Q3,288651,26496,5591,285,1.076,0.0171,0.0152,0.1174
2024Q1,2021Q1 to 2023Q4,315147,26208,5876,348,1.328,0.0268,0.0211,0.2691
2024Q2,2021Q1 to 2024Q1,341355,26208,6224,308,1.175,0.0203,0.0177,0.1568
2024Q3,2021Q1 to 2024Q2,367563,26496,6532,334,1.261,0.0275,0.0207,0.3503
2024Q4,2021Q1 to 2024Q3,394059,26496,6866,270,1.019,0.0232,0.0183,0.2929
