macro_regime,horizon,n_samples,p_up,p_down,p_zero,regime_majority_baseline,regime_majority_class
COMPRESSION_ACCUMULATION,15m,241681,0.4984,0.5008,0.0007,0.5008,DOWN
COMPRESSION_ACCUMULATION,30m,241678,0.4991,0.5006,0.0003,0.5006,DOWN
COMPRESSION_ACCUMULATION,1h,241674,0.4999,0.4999,0.0002,0.4999,DOWN
COMPRESSION_ACCUMULATION,2h,241674,0.503,0.4969,0.0001,0.503,UP
COMPRESSION_ACCUMULATION,4h,241674,0.5025,0.4975,0.0001,0.5025,UP
COMPRESSION_ACCUMULATION,8h,241674,0.5045,0.4955,0.0001,0.5045,UP
COMPRESSION_ACCUMULATION,12h,241660,0.5051,0.4948,0.0001,0.5051,UP
COMPRESSION_ACCUMULATION,24h,241607,0.5152,0.4848,0.0,0.5152,UP
CHOPPY_CONSOLIDATION,15m,319050,0.5017,0.4979,0.0004,0.5017,UP
CHOPPY_CONSOLIDATION,30m,319050,0.5052,0.4946,0.0002,0.5052,UP
CHOPPY_CONSOLIDATION,1h,319048,0.5078,0.492,0.0002,0.5078,UP
CHOPPY_CONSOLIDATION,2h,319036,0.5094,0.4905,0.0001,0.5094,UP
CHOPPY_CONSOLIDATION,4h,319012,0.5106,0.4893,0.0001,0.5106,UP
CHOPPY_CONSOLIDATION,8h,318964,0.5092,0.4908,0.0,0.5092,UP
CHOPPY_CONSOLIDATION,12h,318930,0.508,0.492,0.0,0.508,UP
CHOPPY_CONSOLIDATION,24h,318839,0.5082,0.4918,0.0,0.5082,UP
VOLATILITY_EXPANSION,15m,21630,0.4997,0.5,0.0003,0.5,DOWN
VOLATILITY_EXPANSION,30m,21630,0.5058,0.4942,0.0,0.5058,UP
VOLATILITY_EXPANSION,1h,21630,0.5123,0.4877,0.0,0.5123,UP
VOLATILITY_EXPANSION,2h,21630,0.5226,0.4773,0.0,0.5226,UP
VOLATILITY_EXPANSION,4h,21630,0.5347,0.4652,0.0001,0.5347,UP
VOLATILITY_EXPANSION,8h,21630,0.5318,0.4682,0.0,0.5318,UP
VOLATILITY_EXPANSION,12h,21630,0.5326,0.4674,0.0,0.5326,UP
VOLATILITY_EXPANSION,24h,21630,0.5546,0.4454,0.0,0.5546,UP
PERSISTENT_TREND_BULL,15m,8988,0.5144,0.4854,0.0002,0.5144,UP
PERSISTENT_TREND_BULL,30m,8988,0.5148,0.4852,0.0,0.5148,UP
PERSISTENT_TREND_BULL,1h,8988,0.5016,0.4984,0.0,0.5016,UP
PERSISTENT_TREND_BULL,2h,8988,0.4893,0.5106,0.0001,0.5106,DOWN
PERSISTENT_TREND_BULL,4h,8988,0.4933,0.5066,0.0001,0.5066,DOWN
PERSISTENT_TREND_BULL,8h,8988,0.5224,0.4776,0.0,0.5224,UP
PERSISTENT_TREND_BULL,12h,8988,0.5336,0.4664,0.0,0.5336,UP
PERSISTENT_TREND_BULL,24h,8988,0.5086,0.4914,0.0,0.5086,UP
PERSISTENT_TREND_BEAR,15m,10888,0.5057,0.4943,0.0,0.5057,UP
PERSISTENT_TREND_BEAR,30m,10888,0.5222,0.4778,0.0,0.5222,UP
PERSISTENT_TREND_BEAR,1h,10888,0.5295,0.4705,0.0,0.5295,UP
PERSISTENT_TREND_BEAR,2h,10888,0.5342,0.4658,0.0,0.5342,UP
PERSISTENT_TREND_BEAR,4h,10888,0.5189,0.4811,0.0,0.5189,UP
PERSISTENT_TREND_BEAR,8h,10888,0.5383,0.4617,0.0,0.5383,UP
PERSISTENT_TREND_BEAR,12h,10888,0.5451,0.4548,0.0001,0.5451,UP
PERSISTENT_TREND_BEAR,24h,10888,0.5563,0.4437,0.0,0.5563,UP
