year,horizon,n_samples,p_up,p_down,p_zero,majority_baseline,majority_class,unconditional_50_50_baseline,imbalance_over_50
2021,15m,104923,0.4991,0.5006,0.0003,0.5006,DOWN,0.5,0.0006
2021,30m,104923,0.5021,0.4978,0.0001,0.5021,UP,0.5,0.0021
2021,1h,104923,0.5072,0.4928,0.0001,0.5072,UP,0.5,0.0072
2021,2h,104923,0.5062,0.4938,0.0,0.5062,UP,0.5,0.0062
2021,4h,104923,0.5072,0.4928,0.0,0.5072,UP,0.5,0.0072
2021,8h,104923,0.5079,0.4921,0.0,0.5079,UP,0.5,0.0079
2021,12h,104923,0.5143,0.4857,0.0,0.5143,UP,0.5,0.0143
2021,24h,104923,0.5211,0.4789,0.0,0.5211,UP,0.5,0.0211
2022,15m,105120,0.5016,0.4982,0.0002,0.5016,UP,0.5,0.0016
2022,30m,105120,0.5015,0.4984,0.0001,0.5015,UP,0.5,0.0015
2022,1h,105120,0.4995,0.5005,0.0001,0.5005,DOWN,0.5,0.0005
2022,2h,105120,0.4956,0.5044,0.0,0.5044,DOWN,0.5,0.0044
2022,4h,105120,0.4945,0.5055,0.0,0.5055,DOWN,0.5,0.0055
2022,8h,105120,0.4833,0.5167,0.0,0.5167,DOWN,0.5,0.0167
2022,12h,105120,0.4719,0.528,0.0,0.528,DOWN,0.5,0.028
2022,24h,105120,0.4686,0.5314,0.0,0.5314,DOWN,0.5,0.0314
2023,15m,105104,0.5036,0.4957,0.0007,0.5036,UP,0.5,0.0036
2023,30m,105104,0.505,0.4945,0.0004,0.505,UP,0.5,0.005
2023,1h,105104,0.5072,0.4927,0.0002,0.5072,UP,0.5,0.0072
2023,2h,105104,0.5107,0.4892,0.0001,0.5107,UP,0.5,0.0107
2023,4h,105104,0.5096,0.4903,0.0001,0.5096,UP,0.5,0.0096
2023,8h,105104,0.5079,0.4921,0.0001,0.5079,UP,0.5,0.0079
2023,12h,105104,0.5121,0.4878,0.0001,0.5121,UP,0.5,0.0121
2023,24h,105104,0.5285,0.4715,0.0,0.5285,UP,0.5,0.0285
2024,15m,105408,0.5045,0.4948,0.0006,0.5045,UP,0.5,0.0045
2024,30m,105408,0.5065,0.4932,0.0003,0.5065,UP,0.5,0.0065
2024,1h,105408,0.5105,0.4893,0.0002,0.5105,UP,0.5,0.0105
2024,2h,105408,0.5194,0.4804,0.0002,0.5194,UP,0.5,0.0194
2024,4h,105408,0.523,0.4768,0.0001,0.523,UP,0.5,0.023
2024,8h,105408,0.5354,0.4646,0.0,0.5354,UP,0.5,0.0354
2024,12h,105408,0.534,0.466,0.0001,0.534,UP,0.5,0.034
2024,24h,105408,0.5375,0.4625,0.0,0.5375,UP,0.5,0.0375
2025,15m,105120,0.4979,0.5017,0.0005,0.5017,DOWN,0.5,0.0017
2025,30m,105120,0.5028,0.497,0.0002,0.5028,UP,0.5,0.0028
2025,1h,105120,0.5051,0.4947,0.0002,0.5051,UP,0.5,0.0051
2025,2h,105120,0.5096,0.4903,0.0001,0.5096,UP,0.5,0.0096
2025,4h,105120,0.5111,0.4888,0.0001,0.5111,UP,0.5,0.0111
2025,8h,105120,0.5119,0.4881,0.0,0.5119,UP,0.5,0.0119
2025,12h,105120,0.5132,0.4868,0.0,0.5132,UP,0.5,0.0132
2025,24h,105120,0.5147,0.4853,0.0,0.5147,UP,0.5,0.0147
2026,15m,76562,0.4955,0.5036,0.0008,0.5036,DOWN,0.5,0.0036
2026,30m,76559,0.5005,0.4991,0.0004,0.5005,UP,0.5,0.0005
2026,1h,76553,0.4997,0.5002,0.0002,0.5002,DOWN,0.5,0.0002
2026,2h,76541,0.5016,0.4983,0.0001,0.5016,UP,0.5,0.0016
2026,4h,76517,0.5014,0.4985,0.0001,0.5014,UP,0.5,0.0014
2026,8h,76469,0.5059,0.4941,0.0001,0.5059,UP,0.5,0.0059
2026,12h,76421,0.5064,0.4936,0.0001,0.5064,UP,0.5,0.0064
2026,24h,76277,0.5097,0.4903,0.0,0.5097,UP,0.5,0.0097
