test_quarter,train_span,horizon,n_test_samples,directional_concordance,ci_95_lower,ci_95_upper,lift_over_50
2022Q1,2021Q1 to 2021Q4,4h,30,0.4333,0.2738,0.608,-0.0667
2022Q2,2021Q1 to 2022Q1,4h,30,0.5,0.3315,0.6685,0.0
2022Q3,2021Q1 to 2022Q2,4h,30,0.4,0.2459,0.5768,-0.1
2022Q4,2021Q1 to 2022Q3,4h,30,0.6333,0.4551,0.7813,0.1333
2023Q1,2021Q1 to 2022Q4,4h,30,0.4667,0.3023,0.6386,-0.0333
2023Q2,2021Q1 to 2023Q1,4h,30,0.2667,0.1418,0.4445,-0.2333
2023Q3,2021Q1 to 2023Q2,4h,30,0.4,0.2459,0.5768,-0.1
2023Q4,2021Q1 to 2023Q3,4h,30,0.5333,0.3614,0.6977,0.0333
2024Q1,2021Q1 to 2023Q4,4h,30,0.4333,0.2738,0.608,-0.0667
2024Q2,2021Q1 to 2024Q1,4h,30,0.4,0.2459,0.5768,-0.1
2024Q3,2021Q1 to 2024Q2,4h,30,0.5,0.3315,0.6685,0.0
2024Q4,2021Q1 to 2024Q3,4h,30,0.4333,0.2738,0.608,-0.0667
