derivatives_feature,max_spot_baseline_correlation,is_redundant_with_spot
perp_return_5m,0.9960714329498218,True
perp_return_1h,0.998868752317891,True
perp_return_24h,0.9990850729476104,True
perp_volatility_24h,0.9981617249538425,True
perp_vs_spot_vol_ratio,0.016027286511329543,False
perp_volume_24h_zscore,0.8940828012075419,True
perp_volume_acceleration,0.8366904247466127,False
perp_vs_spot_volume_ratio,0.00765405267594033,False
basis_level,0.2101222446982554,False
basis_abs,0.1319063865606133,False
basis_rolling_percentile_24h,0.10591261540540049,False
basis_zscore_robust,0.10313855299804102,False
basis_acceleration,0.018213723082786827,False
basis_compression_ratio,0.25415115023958845,False
basis_price_divergence,0.03668481483496397,False
funding_rate_latest,0.21738396786534847,False
funding_rate_rolling_percentile_30d,0.12500968506593815,False
funding_rate_zscore_30d,0.12886265601031313,False
funding_rate_sign,0.05778437284636995,False
funding_persistence_bars,0.1341648713184246,False
funding_extreme_state,0.09250672849736404,False
open_interest_log,0.38133572490529927,False
oi_change_1h,0.050543635604781936,False
oi_pct_change_24h,0.173374518032248,False
oi_acceleration,0.05553484856737341,False
oi_rolling_percentile_30d,0.133533450803198,False
oi_robust_zscore_24h,0.08119464258356723,False
oi_price_quadrant,0.3763987810580608,False
oi_volatility_interaction,0.3605195454535146,False
top_trader_account_ratio,0.2769885978269388,False
top_trader_position_ratio,0.14631976522934412,False
global_long_short_account_ratio,0.3334772918786116,False
top_vs_global_positioning_divergence,0.2851045765739159,False
top_positioning_change_24h,0.06732483887375486,False
crowding_score_30d,0.37572704807273805,False
futures_taker_buy_sell_ratio,0.30473614299675783,False
futures_net_taker_imbalance,0.3392454118962711,False
futures_taker_buy_vol_24h,0.6365603900034873,False
futures_taker_acceleration,0.23414833725366832,False
futures_vs_spot_taker_divergence,0.6480021808558571,False
