ablation_group,feature_count,val_2025_r2,delta_r2_vs_baseline
Spot Baseline Only,8,0.3250108261781165,0.0
Spot + Fam A (Perp Price),16,0.33998872966477944,0.014977903486662947
Spot + Fam B (Basis),15,0.33931070464518576,0.01429987846706926
Spot + Fam C (Funding),14,0.33342066041303375,0.008409834234917257
Spot + Fam D (OI),16,0.35447426996089626,0.029463443782779764
Spot + Fam E (Positioning),14,0.32921691987317003,0.004206093695053537
Spot + Fam F (Taker Flow),13,0.3275108220684735,0.0024999958903569874
Spot + All Derivatives,48,0.3792466202979824,0.0542357941198659
All - Fam A (Leave-Out Perp),40,0.3658069842464541,0.040796158068337585
All - Fam B (Leave-Out Basis),41,0.3786845790114791,0.05367375283336262
All - Fam C (Leave-Out Funding),42,0.3803299284162429,0.055319102238126416
All - Fam D (Leave-Out OI),40,0.3560768969533499,0.03106607077523338
All - Fam E (Leave-Out Positioning),42,0.38132147729003274,0.05631065111191624
All - Fam F (Leave-Out Taker),43,0.3749359767693663,0.0499251505912498
