lag_bars_5m,lag_minutes,perp_ret_vs_spot_corr,taker_imbalance_vs_spot_corr,oi_change_vs_spot_corr,basis_vs_spot_corr
-12,-60,-0.005025600594658404,-0.007177795681588406,0.0034227804106346732,0.003870726960015413
-11,-55,2.237970475281665e-06,-0.008634366476159505,0.004637946825445705,-0.0003305672024009664
-10,-50,-0.0029253903040530453,-0.010351717423277002,0.006810458206806228,0.004187050592815351
-9,-45,-0.0029774659913105565,-0.011843789398414102,0.009001358409774304,2.839771659236606e-05
-8,-40,0.0015083473736221343,-0.008752976734737466,0.00583032818465649,0.0005434537439695804
-7,-35,0.01019316739961469,-0.019157375006257575,0.007169698247577606,0.00012344252250801632
-6,-30,-0.014698258030140828,-0.02223421090168324,0.007948653646875699,-0.00440235705620283
-5,-25,-0.012637915100303805,-0.025346901467611618,0.0027214116075941017,-0.008835454071353648
-4,-20,-0.007288022653594053,-0.023308571348842403,0.001415841715116205,-0.006546191610624175
-3,-15,0.011869404557681415,-0.024666815294432293,0.0019467484699110462,-0.004302597312354149
-2,-10,-0.014455800418910581,-0.010992701826744115,0.0022812684851316427,-0.014895295744458806
-1,-5,-0.03464437801734723,0.2684530785258086,0.0023930086961704107,-0.01698754951881091
0,0,0.9960714329498218,0.18541654720772488,0.001143738623061583,-0.0045344013345622065
1,5,-0.02722240535168363,-0.0005167239447730245,-0.0008497218879662025,0.0038606914611107306
2,10,-0.015024360708419093,-0.003625342424787883,-0.001290507567594995,-0.004825979994611614
3,15,0.007052884768103051,-0.003849142024633316,0.00048552367071662516,-0.005272363682224675
4,20,-0.006444816803052622,-0.005406012542997573,0.001119591389966854,-0.0022538685854412667
5,25,-0.010875848063609712,-0.0023842970577809736,-0.002027455253607144,-0.002391116175599956
6,30,-0.016008806948766018,0.005039917402190124,0.0021807834577085676,-0.0049503972456643765
7,35,0.007342323850571097,-0.0020162399805685703,0.0007448321692336684,-0.005760356146222795
8,40,0.0017699211627388257,-0.00041876126262002655,-0.0013441296058320953,-0.00218898633173112
9,45,-0.0034285559918683364,5.564373849493519e-05,-0.003933806589400317,-0.003371507713840819
10,50,-0.0034610118493504627,0.00033114144572181733,-0.001381517485580097,-0.0014923838489470601
11,55,0.001953775685725746,-0.0024230223991088314,-0.0013583536393836405,-0.004244981568925011
12,60,-0.006524540457067867,0.0011850584213411405,0.001278128219440385,-0.0052456108348602915
