period,description,correlation_metric,target_description,mean_correlation,min_correlation,max_correlation,std_correlation,pct_positive
2021_BULL_PEAK,2021 Bull Market / ATH,corr_btc_nasdaq_30d,BTC vs NASDAQ 30d Rolling Corr,0.2397084079767752,-0.14726406938948886,0.5566656233065744,0.1357480203305738,94.27008377572125
2021_BULL_PEAK,2021 Bull Market / ATH,corr_btc_sp500_30d,BTC vs S&P 500 30d Rolling Corr,0.237797209429881,-0.14735205536116477,0.5273632358576015,0.15648333966953668,87.40790865682453
2021_BULL_PEAK,2021 Bull Market / ATH,corr_btc_dxy_30d,BTC vs DXY 30d Rolling Corr,-0.12549489640600356,-0.4985730753359667,0.266758866481885,0.14536755476642207,16.415847812205143
2021_BULL_PEAK,2021 Bull Market / ATH,corr_btc_gold_30d,BTC vs Gold 30d Rolling Corr,0.0038821480626021854,-0.30508676868152473,0.4743955874734836,0.15559307237292985,48.52987428876414
2021_BULL_PEAK,2021 Bull Market / ATH,corr_btc_vix_30d,BTC vs VIX 30d Rolling Corr,-0.20739255349546534,-0.5556341116592125,0.24870629455551146,0.18263700600792568,14.465846382585323
2022_FED_TIGHTENING_BEAR,2022 Aggressive Fed Tightening / Bear,corr_btc_nasdaq_30d,BTC vs NASDAQ 30d Rolling Corr,0.5124877534189215,0.2131260819234384,0.746762191703295,0.11657985577928043,100.0
2022_FED_TIGHTENING_BEAR,2022 Aggressive Fed Tightening / Bear,corr_btc_sp500_30d,BTC vs S&P 500 30d Rolling Corr,0.4818675256454982,0.11433154581711973,0.6981905878449349,0.13919323421959576,100.0
2022_FED_TIGHTENING_BEAR,2022 Aggressive Fed Tightening / Bear,corr_btc_dxy_30d,BTC vs DXY 30d Rolling Corr,-0.2673619851994654,-0.7475368548363055,0.23931873638752094,0.20615893280929815,11.78082191780822
2022_FED_TIGHTENING_BEAR,2022 Aggressive Fed Tightening / Bear,corr_btc_gold_30d,BTC vs Gold 30d Rolling Corr,0.09128075497223966,-0.464967616955157,0.5923346557519277,0.2251029712433255,64.96575342465754
2022_FED_TIGHTENING_BEAR,2022 Aggressive Fed Tightening / Bear,corr_btc_vix_30d,BTC vs VIX 30d Rolling Corr,-0.4196626990906416,-0.7221461662805349,0.08283118229873232,0.18473766079086043,3.0136986301369864
