target,target_description,model_id,model_name,feature_count,r2_discovery_2021_2024,r2_validation_2025,r2_holdout_2026,delta_r2_vs_spot_val,delta_r2_vs_spot_hold,delta_r2_vs_deriv_val,delta_r2_vs_deriv_hold,val_rmse,val_mae,nested_f_statistic_val,nested_p_value_val
fwd_vol_1h,1h Forward Volatility,MODEL_A_SPOT_ONLY,Baseline A: Spot Only,8,0.45762626950521623,0.36828595577889445,0.40323953967856996,0.0,0.0,0.0,0.0,0.0006832090519389551,0.0004043561772746156,0.0,1.0
fwd_vol_1h,1h Forward Volatility,MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,21,0.47546743739451447,0.38398256548068,0.2586458419807406,0.015696609701785547,-0.14459369769782937,0.0,0.0,0.0006746675895402581,0.00040074475513522483,0.0,1.0
fwd_vol_1h,1h Forward Volatility,MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,40,0.48770619567418827,0.4185972450195795,0.2653842840784544,0.050311289240685064,-0.13785525560011558,0.03461467953889952,0.006738442097713793,0.0006554384100089128,0.0003865596133736409,329.26499339293844,0.0
fwd_vol_1h,1h Forward Volatility,MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,44,0.4799582047234586,0.35449107444180894,0.2436145192692245,-0.013794881337085507,-0.15962502040934545,-0.029491491038871054,-0.015031322711516082,0.0006906284605504619,0.000428421102088929,0.0,1.0
fwd_vol_1h,1h Forward Volatility,MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,63,0.4905615296125959,0.3803754947991056,0.25399674214618195,0.012089539020211149,-0.149242797532388,-0.003607070681574398,-0.004649099834558634,0.0006766399538835316,0.000419973220948048,0.0,1.0
fwd_vol_4h,4h Forward Volatility,MODEL_A_SPOT_ONLY,Baseline A: Spot Only,8,0.4813726678692821,0.3250108261781165,0.41972388038938313,0.0,0.0,0.0,0.0,0.0006373295328735313,0.0004149721517165115,0.0,1.0
fwd_vol_4h,4h Forward Volatility,MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,21,0.5084366773717828,0.35495018597975614,0.31816270019124304,0.029939359801639642,-0.10156118019814009,0.0,0.0,0.0006230347453792437,0.0004036339690413628,0.0,1.0
fwd_vol_4h,4h Forward Volatility,MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,40,0.53302863272526,0.4246268863742262,0.3828140827128168,0.09961606019610969,-0.036909797676566325,0.06967670039447005,0.06465138252157376,0.0005884240595574508,0.0003719976169719584,669.730908185725,0.0
fwd_vol_4h,4h Forward Volatility,MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,44,0.515262864037481,0.2978459944563161,0.3065189840334672,-0.027164831721800398,-0.11320489635591591,-0.05710419152344004,-0.011643716157775819,0.0006500276473833123,0.00043713372234733275,0.0,1.0
fwd_vol_4h,4h Forward Volatility,MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,63,0.5392099317908201,0.35971652202900206,0.378482542852392,0.034705695850885565,-0.04124133753699111,0.004766336049245923,0.06031984266114898,0.0006207286452018996,0.00041135542009218323,18.620182541063723,0.0
