feature_1,feature_2,pairwise_correlation,abs_correlation,redundancy_verdict
nasdaq_ret_1d,equity_risk_on_1d,0.9916924584282522,0.9916924584282522,REDUNDANT
sp500_ret_1d,equity_risk_on_1d,0.9854504155180649,0.9854504155180649,REDUNDANT
nasdaq_vol_20d,sp500_vol_20d,0.9711847364266679,0.9711847364266679,REDUNDANT
nasdaq_ret_1d,sp500_ret_1d,0.9554011245777333,0.9554011245777333,REDUNDANT
nasdaq_ret_5d,sp500_ret_5d,0.9504443013797,0.9504443013797,REDUNDANT
tnx_10y_close,yield_2y_close,0.9383919605905313,0.9383919605905313,REDUNDANT
yield_2y_close,yield_spread_10y_2y,-0.7774955323981753,0.7774955323981753,MODERATE_OVERLAP
sp500_ret_1d,vix_ret_1d,-0.7572922429472057,0.7572922429472057,MODERATE_OVERLAP
vix_ret_1d,equity_risk_on_1d,-0.7398526192620797,0.7398526192620797,MODERATE_OVERLAP
nasdaq_ret_1d,vix_ret_1d,-0.7123607823664757,0.7123607823664757,MODERATE_OVERLAP
sp500_vol_20d,vix_close,0.6794393546851575,0.6794393546851575,MODERATE_OVERLAP
nasdaq_vol_20d,vix_close,0.6434983885769232,0.6434983885769232,MODERATE_OVERLAP
tnx_10y_close,yield_spread_10y_2y,-0.5122688393798245,0.5122688393798245,MODERATE_OVERLAP
sp500_ret_1d,sp500_ret_5d,0.4631189970072192,0.4631189970072192,INDEPENDENT
sp500_ret_5d,equity_risk_on_1d,0.45169077923302836,0.45169077923302836,INDEPENDENT
nasdaq_ret_1d,nasdaq_ret_5d,0.4506404796926814,0.4506404796926814,INDEPENDENT
nasdaq_ret_5d,equity_risk_on_1d,0.4492343992191577,0.4492343992191577,INDEPENDENT
nasdaq_ret_5d,sp500_ret_1d,0.43590914193981894,0.43590914193981894,INDEPENDENT
nasdaq_ret_1d,sp500_ret_5d,0.4343154807636855,0.4343154807636855,INDEPENDENT
dxy_ret_1d,dxy_ret_5d,0.4310105611861905,0.4310105611861905,INDEPENDENT
