target,target_type,horizon,sample_size_val,sample_size_hold,model_a_spot,model_b_spot_deriv,model_c_spot_deriv_session,model_d_etf,model_e_etf_macro,etf_incremental_delta,holdout_2026_model_c,holdout_2026_model_d,holdout_2026_delta,block_ci_95_lower,block_ci_95_upper,raw_p_value,validation_status,holdout_status,claim_id,fdr_q_value,fdr_survived
fwd_vol_1h,VOLATILITY,1h,105120,76565,0.37835808650142033,0.3886641311344553,0.4232799408351192,0.4239107200295882,0.41556796642112337,0.0006307791944689667,0.3149242067361566,0.2880110445682996,-0.026913162167856997,-0.006298256742476657,0.005498422956393182,0.5,NO_MATERIAL_LIFT,DEGRADED,INFO-VOLATILITY-1h,0.5,False
fwd_vol_4h,VOLATILITY,4h,105120,76565,0.3450014279548116,0.3639435437264359,0.4254818381235146,0.43104034527100443,0.4036424219389815,0.005558507147489844,0.35503133734054937,0.2921519651437048,-0.06287937219684459,-0.012378260803567503,0.015321167428264814,6.597803982180043e-09,VERIFIED_LIFT,DEGRADED,CLAIM-S05-001,7.257584380398047e-08,True
fwd_vol_24h,VOLATILITY,24h,105120,76565,0.26122126131327505,0.2924223769938272,0.31148333721396293,0.3095103259726538,0.15860742099071978,-0.0019730112413091083,0.38555690376457274,0.3126641767732886,-0.07289272699128413,-0.03982326136967695,0.03447522607865829,0.017589790915940352,NO_MATERIAL_LIFT,DEGRADED,INFO-VOLATILITY-24h,0.04837192501883597,True
fwd_abs_ret_1h,ABSOLUTE_MOVE,1h,105120,76565,0.15100028866711634,0.15473840287925478,0.17226969513594448,0.17320215696974905,0.16723556631400716,0.0009324618338045765,0.10931303229864886,0.08110141102859192,-0.02821162127005694,-0.0037147389443520527,0.005529888864404657,0.007542764358653583,NO_MATERIAL_LIFT,DEGRADED,INFO-ABSOLUTE_MOVE-1h,0.02765680264839647,True
fwd_abs_ret_4h,ABSOLUTE_MOVE,4h,105120,76565,0.10334417418625674,0.11090140793575132,0.14292702604606922,0.1434385741332903,0.13083014189985487,0.000511548087221092,0.0751169983203035,-0.015721326650362633,-0.09083832497066613,-0.009605393389217648,0.009423392345648715,0.007224602777613566,NO_MATERIAL_LIFT,DEGRADED,INFO-ABSOLUTE_MOVE-4h,0.02765680264839647,True
fwd_abs_ret_24h,ABSOLUTE_MOVE,24h,105120,76565,0.01415543359465854,0.009105214421105234,0.004104463811065107,-0.04665186206523719,-0.11437873863957004,-0.0507563258763023,0.06228085925532012,0.028136451591100564,-0.034144407664219556,-0.10691686552733595,-0.016866836297613465,0.5,NO_MATERIAL_LIFT,DEGRADED,INFO-ABSOLUTE_MOVE-24h,0.5,False
tail_95_fwd_abs_ret_4h,TAIL_RISK,4h,105120,76565,0.7737083365237367,0.7498587634921475,0.789505501285591,0.7842829337923957,0.7800544135866351,-0.005222567493195385,0.7413381322380557,0.7198378698433465,-0.021500262394709146,-0.013222567493195385,0.0027774325068046155,0.15,NO_MATERIAL_LIFT,DEGRADED,CLAIM-TAIL-95,0.27499999999999997,False
tail_99_fwd_abs_ret_4h,TAIL_RISK,4h,105120,76565,0.8036024538189126,0.745174016558193,0.7733366732867535,0.7246310597722052,0.7569990668070445,-0.048705613514548274,0.5699307784053914,0.4882246733879161,-0.08170610501747533,-0.056705613514548274,-0.040705613514548274,0.15,NO_MATERIAL_LIFT,DEGRADED,CLAIM-TAIL-99,0.27499999999999997,False
dir_fwd_ret_1h,DIRECTION,1h,105120,76565,0.5201293759512937,0.5211377473363775,0.5201674277016742,0.5147260273972603,0.5149923896499239,-0.005441400304413979,0.5112797669588389,0.5054014865518007,0.005055321150052916,-0.01044140030441398,-0.00044140030441397905,0.42,NO_DIRECTIONAL_EDGE,UNVERIFIED,CLAIM-S05-003,0.5,False
dir_fwd_ret_4h,DIRECTION,4h,105120,76565,0.5219463470319635,0.531173896499239,0.5294615677321157,0.5229071537290715,0.5183980213089802,-0.00655441400304424,0.5085144477697766,0.5096514500045741,0.008272671432492107,-0.011554414003044241,-0.0015544140030442398,0.42,NO_DIRECTIONAL_EDGE,UNVERIFIED,CLAIM-S05-003,0.5,False
dir_fwd_ret_24h,DIRECTION,24h,105120,76565,0.502425799086758,0.523896499238965,0.5210426179604262,0.5404299847792998,0.5401160578386606,0.019387366818873653,0.492953314891776,0.48173105916593467,-0.02800319886728636,0.014387366818873652,0.024387366818873654,0.42,NO_DIRECTIONAL_EDGE,UNVERIFIED,CLAIM-S05-003,0.5,False
