decay_bucket,fraction_of_total_bars
high,56795.2507148479
volatility_realized_24h,0.0016255378613285482
is_event_within_1h,0.004099694473963868
is_event_within_4h,0.015457292773645059
event_age_0_5m,0.0010892667375132837
event_age_5_15m,0.0008518198724760893
event_age_15_30m,0.0010859458023379383
event_age_30_60m,0.0021718916046758767
event_age_1_2h,0.004333820403825717
event_age_2_4h,0.008622808182784271
event_age_4_8h,0.017127723166843783
event_age_8_12h,0.01692182518597237
event_age_12_24h,0.04955997608926674
event_age_24_48h,0.09424647980871413
events_last_1h,0.01327875929861849
events_last_4h,0.052133700850159406
events_last_24h,0.3106884298618491
tier1_events_last_4h,0.01586576780021254
clusters_last_24h,0.10594779489904357
is_event_active_1h,0.0051989240170031885
is_event_active_4h,0.01815555260361318
oi_change_1h,inf
