taxonomy_family,events_count,clusters_count,mean_cascade_delay_s,median_cascade_delay_s,tier1_fraction
CORPORATE_TREASURY,5,3,297.4,0.0,0.4
CRYPTO_MARKET_STRUCTURE,5,2,329.6,437.0,0.0
ETF_REGULATORY,19,7,329.10526315789474,187.0,0.15789473684210525
EXCHANGE_OPERATIONAL,5,2,377.6,422.0,0.2
EXCHANGE_SECURITY,16,7,280.4375,152.5,0.0
GEOPOLITICAL,11,4,327.1818181818182,346.0,0.0
INSTITUTIONAL,7,2,410.57142857142856,460.0,0.0
LEGAL_ENFORCEMENT,11,4,170.1818181818182,88.0,0.18181818181818182
MACRO_SCHEDULED,418,139,315.5933014354067,247.0,0.33253588516746413
MONETARY_POLICY,137,46,296.6204379562044,166.0,0.3357664233576642
PROTOCOL_SECURITY,2,1,432.0,432.0,0.0
REGULATORY,9,3,354.44444444444446,260.0,0.2222222222222222
STABLECOIN,8,3,253.625,290.5,0.0
