event_bar_idx,event_datetime,control_bar_idx,control_datetime,session,rv_quintile
1302,2021-01-05 12:30:00+00:00,32021,2021-04-22 09:40:00+00:00,0.0,4
1302,2021-01-05 12:30:00+00:00,543907,2026-03-05 07:20:00+00:00,0.0,4
1302,2021-01-05 12:30:00+00:00,13105,2021-02-15 13:20:00+00:00,0.0,4
1302,2021-01-05 12:30:00+00:00,43375,2021-06-01 00:30:00+00:00,0.0,4
1302,2021-01-05 12:30:00+00:00,13306,2021-02-16 06:05:00+00:00,0.0,4
3318,2021-01-12 12:30:00+00:00,448527,2025-04-08 03:00:00+00:00,0.0,4
3318,2021-01-12 12:30:00+00:00,163387,2022-07-23 00:00:00+00:00,0.0,4
3318,2021-01-12 12:30:00+00:00,3753,2021-01-14 00:45:00+00:00,0.0,4
3318,2021-01-12 12:30:00+00:00,12697,2021-02-14 03:20:00+00:00,0.0,4
3318,2021-01-12 12:30:00+00:00,336446,2024-03-14 22:55:00+00:00,0.0,4
7716,2021-01-27 19:00:00+00:00,448879,2025-04-09 08:20:00+00:00,0.0,4
7716,2021-01-27 19:00:00+00:00,165342,2022-07-29 18:55:00+00:00,0.0,4
7716,2021-01-27 19:00:00+00:00,223735,2023-02-17 13:00:00+00:00,0.0,4
7716,2021-01-27 19:00:00+00:00,195483,2022-11-11 10:40:00+00:00,0.0,4
7716,2021-01-27 19:00:00+00:00,38797,2021-05-16 03:00:00+00:00,0.0,4
10230,2021-02-05 12:30:00+00:00,39683,2021-05-19 04:50:00+00:00,0.0,4
10230,2021-02-05 12:30:00+00:00,426480,2025-01-21 13:45:00+00:00,0.0,4
10230,2021-02-05 12:30:00+00:00,153485,2022-06-18 14:50:00+00:00,0.0,4
10230,2021-02-05 12:30:00+00:00,68237,2021-08-26 12:50:00+00:00,0.0,4
10230,2021-02-05 12:30:00+00:00,39374,2021-05-18 03:05:00+00:00,0.0,4
11100,2021-02-08 13:00:00+00:00,47133,2021-06-14 01:40:00+00:00,0.0,4
11100,2021-02-08 13:00:00+00:00,317803,2024-01-10 05:20:00+00:00,0.0,4
11100,2021-02-08 13:00:00+00:00,230927,2023-03-14 12:20:00+00:00,0.0,4
11100,2021-02-08 13:00:00+00:00,18835,2021-03-07 12:20:00+00:00,0.0,4
11100,2021-02-08 13:00:00+00:00,44658,2021-06-05 11:25:00+00:00,0.0,4
12231,2021-02-12 12:30:00+00:00,181225,2022-09-22 22:30:00+00:00,0.0,4
12231,2021-02-12 12:30:00+00:00,47183,2021-06-14 05:50:00+00:00,0.0,4
12231,2021-02-12 12:30:00+00:00,99851,2021-12-14 09:20:00+00:00,0.0,4
12231,2021-02-12 12:30:00+00:00,45601,2021-06-08 18:00:00+00:00,0.0,4
12231,2021-02-12 12:30:00+00:00,19775,2021-03-10 18:40:00+00:00,0.0,4
18279,2021-03-05 12:30:00+00:00,77325,2021-09-27 02:10:00+00:00,0.0,4
18279,2021-03-05 12:30:00+00:00,111457,2022-01-23 16:30:00+00:00,0.0,4
18279,2021-03-05 12:30:00+00:00,3833,2021-01-14 07:25:00+00:00,0.0,4
18279,2021-03-05 12:30:00+00:00,92469,2021-11-18 18:10:00+00:00,0.0,4
18279,2021-03-05 12:30:00+00:00,407010,2024-11-14 23:15:00+00:00,0.0,4
20277,2021-03-12 12:30:00+00:00,437635,2025-03-01 07:20:00+00:00,0.0,4
20277,2021-03-12 12:30:00+00:00,36047,2021-05-06 13:50:00+00:00,0.0,4
20277,2021-03-12 12:30:00+00:00,447222,2025-04-03 14:15:00+00:00,0.0,4
20277,2021-03-12 12:30:00+00:00,438522,2025-03-04 09:15:00+00:00,0.0,4
20277,2021-03-12 12:30:00+00:00,51828,2021-06-30 08:55:00+00:00,0.0,4
21783,2021-03-17 18:00:00+00:00,449105,2025-04-10 03:10:00+00:00,0.0,4
21783,2021-03-17 18:00:00+00:00,33098,2021-04-26 08:05:00+00:00,0.0,4
21783,2021-03-17 18:00:00+00:00,61698,2021-08-03 15:25:00+00:00,0.0,4
21783,2021-03-17 18:00:00+00:00,107872,2022-01-11 05:45:00+00:00,0.0,4
21783,2021-03-17 18:00:00+00:00,5901,2021-01-21 11:45:00+00:00,0.0,4
27189,2021-04-05 12:30:00+00:00,519959,2025-12-12 03:40:00+00:00,0.0,2
27189,2021-04-05 12:30:00+00:00,354010,2024-05-14 22:35:00+00:00,0.0,2
27189,2021-04-05 12:30:00+00:00,308002,2023-12-07 04:35:00+00:00,0.0,2
27189,2021-04-05 12:30:00+00:00,89088,2021-11-07 00:25:00+00:00,0.0,2
27189,2021-04-05 12:30:00+00:00,352710,2024-05-10 10:15:00+00:00,0.0,2
29205,2021-04-12 12:30:00+00:00,119684,2022-02-21 06:05:00+00:00,0.0,3
29205,2021-04-12 12:30:00+00:00,309490,2023-12-12 08:35:00+00:00,0.0,3
29205,2021-04-12 12:30:00+00:00,409099,2024-11-22 05:20:00+00:00,0.0,3
29205,2021-04-12 12:30:00+00:00,156081,2022-06-27 15:10:00+00:00,0.0,3
29205,2021-04-12 12:30:00+00:00,138772,2022-04-28 12:45:00+00:00,0.0,3
33793,2021-04-28 18:00:00+00:00,508994,2025-11-04 01:55:00+00:00,0.0,3
33793,2021-04-28 18:00:00+00:00,28894,2021-04-11 10:35:00+00:00,0.0,3
33793,2021-04-28 18:00:00+00:00,61507,2021-08-02 23:30:00+00:00,0.0,3
33793,2021-04-28 18:00:00+00:00,22538,2021-03-20 08:55:00+00:00,0.0,3
33793,2021-04-28 18:00:00+00:00,381158,2024-08-17 04:55:00+00:00,0.0,3
35743,2021-05-05 12:30:00+00:00,13534,2021-02-17 01:05:00+00:00,0.0,4
35743,2021-05-05 12:30:00+00:00,36722,2021-05-08 22:05:00+00:00,0.0,4
35743,2021-05-05 12:30:00+00:00,122896,2022-03-04 09:45:00+00:00,0.0,4
35743,2021-05-05 12:30:00+00:00,23537,2021-03-23 20:10:00+00:00,0.0,4
35743,2021-05-05 12:30:00+00:00,65902,2021-08-18 10:15:00+00:00,0.0,4
37759,2021-05-12 12:30:00+00:00,34443,2021-05-01 00:10:00+00:00,0.0,3
37759,2021-05-12 12:30:00+00:00,374709,2024-07-25 19:30:00+00:00,0.0,3
37759,2021-05-12 12:30:00+00:00,190793,2022-10-26 03:50:00+00:00,0.0,3
37759,2021-05-12 12:30:00+00:00,198665,2022-11-22 11:50:00+00:00,0.0,3
37759,2021-05-12 12:30:00+00:00,387970,2024-09-09 20:35:00+00:00,0.0,3
39776,2021-05-19 12:35:00+00:00,448879,2025-04-09 08:20:00+00:00,0.0,4
39776,2021-05-19 12:35:00+00:00,144795,2022-05-19 10:40:00+00:00,0.0,4
39776,2021-05-19 12:35:00+00:00,437471,2025-02-28 17:40:00+00:00,0.0,4
39776,2021-05-19 12:35:00+00:00,334724,2024-03-08 23:25:00+00:00,0.0,4
39776,2021-05-19 12:35:00+00:00,96170,2021-12-01 14:35:00+00:00,0.0,4
44671,2021-06-05 12:30:00+00:00,22210,2021-03-19 05:35:00+00:00,0.0,4
44671,2021-06-05 12:30:00+00:00,121897,2022-02-28 22:30:00+00:00,0.0,4
44671,2021-06-05 12:30:00+00:00,41321,2021-05-24 21:20:00+00:00,0.0,4
44671,2021-06-05 12:30:00+00:00,182768,2022-09-28 07:05:00+00:00,0.0,4
44671,2021-06-05 12:30:00+00:00,138058,2022-04-26 01:15:00+00:00,0.0,4
44690,2021-06-05 14:05:00+00:00,134128,2022-04-12 09:45:00+00:00,0.0,4
44690,2021-06-05 14:05:00+00:00,592690,2026-08-21 16:35:00+00:00,0.0,4
44690,2021-06-05 14:05:00+00:00,5221,2021-01-19 03:05:00+00:00,0.0,4
44690,2021-06-05 14:05:00+00:00,386316,2024-09-04 02:45:00+00:00,0.0,4
44690,2021-06-05 14:05:00+00:00,35737,2021-05-05 12:00:00+00:00,0.0,4
46687,2021-06-12 12:30:00+00:00,173605,2022-08-27 11:30:00+00:00,0.0,4
46687,2021-06-12 12:30:00+00:00,231503,2023-03-16 12:20:00+00:00,0.0,4
46687,2021-06-12 12:30:00+00:00,39689,2021-05-19 05:20:00+00:00,0.0,4
46687,2021-06-12 12:30:00+00:00,152345,2022-06-14 15:50:00+00:00,0.0,4
46687,2021-06-12 12:30:00+00:00,2203,2021-01-08 15:35:00+00:00,0.0,4
47905,2021-06-16 18:00:00+00:00,507696,2025-10-30 13:45:00+00:00,0.0,4
47905,2021-06-16 18:00:00+00:00,18876,2021-03-07 15:45:00+00:00,0.0,4
47905,2021-06-16 18:00:00+00:00,96974,2021-12-04 09:35:00+00:00,0.0,4
47905,2021-06-16 18:00:00+00:00,2611,2021-01-10 01:35:00+00:00,0.0,4
47905,2021-06-16 18:00:00+00:00,41935,2021-05-27 00:30:00+00:00,0.0,4
53311,2021-07-05 12:30:00+00:00,113348,2022-01-30 06:05:00+00:00,0.0,3
