model_tier,partition,horizon,r2_score,rmse,mae,tail_risk_brier_score
U0,DISCOVERY,1h,0.44581115486994505,0.0010265917188178153,0.0005584590069850554,0.043722147337487
U0,VALIDATION_2025,1h,0.36155526667044713,0.000686839083460116,0.00040537594670346657,0.018501113940892284
U0,HOLDOUT_2026,1h,0.39888692776901036,0.0006281499273485243,0.0004166890661369469,0.01783804554078392
U1,DISCOVERY,1h,0.449185005321859,0.0010234620505276744,0.0005564874959510264,0.043722147337487
U1,VALIDATION_2025,1h,0.3676072016973837,0.0006835759952086846,0.00039751247164233536,0.018501113940892284
U1,HOLDOUT_2026,1h,0.40247780739840266,0.0006262709219024059,0.00040809168895465675,0.01783804554078392
U2,DISCOVERY,1h,0.4571850782035297,0.0010160024507665565,0.0005482716068740108,0.043722147337487
U2,VALIDATION_2025,1h,0.39552380905508533,0.0006683176725009506,0.0003852770790951284,0.018501113940892284
U2,HOLDOUT_2026,1h,0.42990564443771295,0.0006117283362205888,0.0003968814168836378,0.01783804554078392
U3,DISCOVERY,1h,0.45853247031633637,0.0010147406908143043,0.0005484383355144248,0.04363704218496062
U3,VALIDATION_2025,1h,0.3942061626779939,0.0006690456804900556,0.00038488144801631795,0.018446946819271493
U3,HOLDOUT_2026,1h,0.429016935179932,0.0006122049563839373,0.0003965985101094278,0.017850892546869106
U4,DISCOVERY,1h,0.4596746668333812,0.001013669855450926,0.000548461872952204,0.04363704218496062
U4,VALIDATION_2025,1h,0.3938901881610708,0.0006692201406890331,0.0003852225740112666,0.018446946819271493
U4,HOLDOUT_2026,1h,0.427011655376651,0.0006132790392557458,0.0003973969932409336,0.017850892546869106
U5,DISCOVERY,1h,0.4621025665713344,0.001011389877518849,0.000548105726282629,0.04363704218496062
U5,VALIDATION_2025,1h,0.40000811477424725,0.0006658341010063495,0.0003836950878040334,0.018446946819271493
U5,HOLDOUT_2026,1h,0.4272221190647675,0.0006131663975028676,0.00039625227598529884,0.017850892546869106
