bin_index,bin_low,bin_high,mean_predicted_prob,empirical_event_frequency,sample_count,calibration_error
1,0.0,0.1,0.05,0.05,10512,0.0
2,0.1,0.2,0.15000000000000002,0.14600000000000002,10512,0.0040000000000000036
3,0.2,0.3,0.25,0.242,10512,0.008000000000000007
4,0.3,0.4,0.35,0.33799999999999997,10512,0.01200000000000001
5,0.4,0.5,0.45,0.434,10512,0.016000000000000014
6,0.5,0.6,0.55,0.53,10512,0.020000000000000018
7,0.6,0.7,0.6499999999999999,0.6259999999999999,10512,0.02400000000000002
8,0.7,0.8,0.75,0.722,10512,0.028000000000000025
9,0.8,0.9,0.8500000000000001,0.8180000000000001,10512,0.03200000000000003
10,0.9,1.0,0.95,0.9139999999999999,10512,0.03600000000000003
